run_id,model_id,provider,sample_id,trial,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at
determinism-large-iter009-20260505T235608Z,qwen3-5-397b,qwen,ADDR-005,8,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1014.20,880.31,1776,21,0.0011412,stop,,2026-05-05T23:56:09.466775+00:00,2026-05-05T23:56:10.483902+00:00
determinism-large-iter009-20260505T235608Z,qwen3-5-397b,qwen,ADDR-005,9,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1020.36,874.96,1776,21,0.0011412,stop,,2026-05-05T23:56:09.466840+00:00,2026-05-05T23:56:10.487238+00:00
determinism-large-iter009-20260505T235608Z,deepseek-v3-2,deepseek,ADDR-005,3,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1218.37,860.41,1682,17,0.0008665,stop,,2026-05-05T23:56:09.462319+00:00,2026-05-05T23:56:10.680718+00:00
determinism-large-iter009-20260505T235608Z,deepseek-v3-2,deepseek,ADDR-005,5,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1317.60,872.43,1682,17,0.00097048,stop,,2026-05-05T23:56:09.462486+00:00,2026-05-05T23:56:10.780104+00:00
determinism-large-iter009-20260505T235608Z,qwen3-5-397b,qwen,ADDR-005,12,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1424.81,1049.31,1776,20,0.00073944,stop,,2026-05-05T23:56:09.467032+00:00,2026-05-05T23:56:10.891861+00:00
determinism-large-iter009-20260505T235608Z,qwen3-5-397b,qwen,ADDR-005,15,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1449.85,1056.78,1776,20,0.0010468,stop,,2026-05-05T23:56:09.467244+00:00,2026-05-05T23:56:10.917125+00:00
determinism-large-iter009-20260505T235608Z,qwen3-5-397b,qwen,ADDR-005,2,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1457.02,1024.66,1776,20,0.0010468,stop,,2026-05-05T23:56:09.466362+00:00,2026-05-05T23:56:10.923408+00:00
determinism-large-iter009-20260505T235608Z,qwen3-5-397b,qwen,ADDR-005,1,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1572.86,1163.13,1776,20,0.00073944,stop,,2026-05-05T23:56:09.466210+00:00,2026-05-05T23:56:11.039105+00:00
determinism-large-iter009-20260505T235608Z,deepseek-v3-2,deepseek,ADDR-005,8,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1592.90,1463.70,1682,17,0.0008665,stop,,2026-05-05T23:56:09.462690+00:00,2026-05-05T23:56:11.055617+00:00
determinism-large-iter009-20260505T235608Z,qwen3-5-397b,qwen,ADDR-005,6,e774babcbb7b,Format on a single line with state abbreviation and ZIP.,warehouse is at one thousand industrial boulevard atlanta georgia three oh three oh nine,"warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309","warehouse is at 1000 Industrial Boulevard, Atlanta, GA 30309",1599.00,1213.60,1776,20,0.00073944,stop,,2026-05-05T23:56:09.466636+00:00,2026-05-05T23:56:11.065663+00:00
