run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,CANONICAL-CRESTA-PERCENT,15261ddfbe12,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,795.74,632.56,206,8,7.02e-05,stop,,2026-05-03T18:18:13.110586+00:00,2026-05-03T18:18:13.906981+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""One hundred percent"" correctly formatted as ""100%"".",True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,CANONICAL-RINGCENTRAL-PHONE,15261ddfbe12,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 800-729-7234,942.27,634.54,214,18,9.308e-05,stop,,2026-05-03T18:18:13.110760+00:00,2026-05-03T18:18:14.053085+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Phone number digits formatted correctly with hyphens; no content changed.,True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,CANONICAL-NIAGARA-ORDERID,15261ddfbe12,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-34272-2384,1013.82,773.51,239,17,9.75e-05,stop,,2026-05-03T18:18:13.110638+00:00,2026-05-03T18:18:14.124497+00:00,True,,,pass,Matches reference exactly.,followed,Formatted as xx-xxxxx-xxxx starting with 17.,False,none,Digits 17342722384 match the spoken sequence; hyphens are formatting only.,True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,CANONICAL-CRESTA-ACCOUNT-ID,15261ddfbe12,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 102-030-04,1093.70,871.80,212,15,0.0001328,stop,,2026-05-03T18:18:13.110533+00:00,2026-05-03T18:18:14.204286+00:00,False,,,wrong_value,Candidate produced 102030004 (with hyphens) vs reference 100203004 — digits differ.,n_a,No instruction provided.,True,none,The digits match the spoken number; hyphens are formatting.,True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,CANONICAL-CRESTA-CURRENCY,15261ddfbe12,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $171.41,1087.59,989.24,209,11,0.0001188,stop,,2026-05-03T18:18:13.110472+00:00,2026-05-03T18:18:14.198139+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""one seventy one forty one"" is reasonably formatted as $171.41; currency symbol is a formatting inference consistent with ""total amount.""",True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,MONEY-001,15261ddfbe12,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,546.91,448.15,217,8,7.306e-05,stop,,2026-05-03T18:18:14.053892+00:00,2026-05-03T18:18:14.600862+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""four fifty"" formatted as $4.50 preserves meaning.",True,,
nothink-rerun-20260503T181812Z,nemotron-3-super-120b,nvidia,CANONICAL-NIAGARA-PHONE,15261ddfbe12,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 17342722384,1360.07,764.80,211,8,2.259e-05,stop,,2026-05-03T18:18:13.109971+00:00,2026-05-03T18:18:14.470091+00:00,False,,,style_violation,Digits correct but not formatted as a standard US phone number.,ignored,Did not apply US phone formatting style.,False,none,Spoken digits correctly converted to numeric form with all digits preserved.,True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,CANONICAL-NIAGARA-PHONE,15261ddfbe12,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 173-427-22384,1560.38,1389.66,226,17,0.0001086,stop,,2026-05-03T18:18:13.110708+00:00,2026-05-03T18:18:14.671143+00:00,False,,,style_violation,Digits preserved but grouped incorrectly for US phone format; should be 1-734-272-2384.,ignored,Did not produce standard US phone formatting.,False,none,Digits 17342722384 preserved exactly with formatting hyphens added.,True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,MONEY-003,15261ddfbe12,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,554.96,477.01,217,7,7.098e-05,stop,,2026-05-03T18:18:14.199154+00:00,2026-05-03T18:18:14.754174+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" correctly formatted as $9.99.",True,,
nothink-rerun-20260503T181812Z,qwen3-5-122b,qwen,CANONICAL-TALKATOO-CENTURY,15261ddfbe12,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,1107.86,913.95,227,13,9.93e-05,stop,,2026-05-03T18:18:13.907621+00:00,2026-05-03T18:18:15.015557+00:00,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format applied correctly.,False,none,"The date ""two six twenty six"" was correctly formatted as 02/06/2026.",True,,
