run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-AVOMA-YEAR,15261ddfbe12,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,633.10,,209,11,0.000264,end_turn,,2026-05-01T23:38:25.396328+00:00,2026-05-01T23:38:26.029440+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction given.,False,none,"Year formatted as digits, content preserved.",True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-CRESTA-CURRENCY,15261ddfbe12,,the total amount is one seventy one forty one,the total amount is $171.41,"the total amount is $1,714.10",633.16,,211,13,0.000276,end_turn,,2026-05-01T23:38:25.397130+00:00,2026-05-01T23:38:26.030293+00:00,False,,,numeric_drift,"Candidate produced $1,714.10 instead of $171.41, misinterpreting the spoken split.",n_a,No formatting instruction provided.,True,fabricated,"""One seventy one forty one"" more naturally parses as $171.41, not $1,714.10; the formatter fabricated a different numeric value.",True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-AVOMA-RANGE,15261ddfbe12,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000",the budget range is $80-$90 thousand,634.33,,210,14,0.000280,end_turn,,2026-05-01T23:38:25.395565+00:00,2026-05-01T23:38:26.029909+00:00,False,,,numeric_drift,"Candidate rendered values as $80-$90 thousand, adding currency and dropping the explicit 80,000–90,000 cardinal numeric form.",n_a,No formatting instruction provided.,True,minor_addition,Added $ symbols and hyphen for formatting; meaning preserved.,True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-CRESTA-ACCOUNT-ID,15261ddfbe12,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 102-030-04,629.22,,213,13,0.000278,end_turn,,2026-05-01T23:38:25.396877+00:00,2026-05-01T23:38:26.026101+00:00,False,,,wrong_value,Candidate produced 102030004 (with hyphens) vs reference 100203004 — digit sequence differs.,n_a,No instruction provided.,True,fabricated,"""One hundred two oh three oh oh four"" should be 10203004 or similar; the formatted 102-030-04 introduces grouping but the digits ""102030004"" vs ""10203004"" — actually ""one hundred two"" = 102, ""oh three"" = 03, ""oh oh four"" = 004, giving 10203004, not 102-030-04 (which reads 10203004... ambiguous). Formatting introduces dash grouping not in input but digits roughly match; minor addition of hyphens.",True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-NIAGARA-PHONE,15261ddfbe12,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 1-734-272-2384,578.64,,228,15,0.000303,end_turn,,2026-05-01T23:38:26.031288+00:00,2026-05-01T23:38:26.609939+00:00,False,,,pass,"Same digits, valid US phone format variant without explicit + sign.",followed,Formatted as US phone number.,False,dropped_content,"Input has 11 digits (1-7-3-4-2-7-2-2-3-8-4) but output only contains 10 digits, missing one digit.",False,judge_pass_em_fail,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-CRESTA-PERCENT,15261ddfbe12,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,523.75,,206,8,0.000246,end_turn,,2026-05-01T23:38:26.026348+00:00,2026-05-01T23:38:26.550110+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""One hundred percent"" formatted as ""100%"" preserves meaning exactly.",True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-NIAGARA-ORDERID,15261ddfbe12,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-34272-2238-4,617.89,,242,16,0.000322,end_turn,,2026-05-01T23:38:26.030531+00:00,2026-05-01T23:38:26.648432+00:00,False,,,style_violation,Digits preserved correctly but segmented as xx-xxxxx-xxxx-x instead of the prompted xx-xxxxx-xxxx format.,partial,"Honored the ""starts with 17"" but not the exact xx-xxxxx-xxxx grouping.",False,none,Digits 17342722384 match input; hyphens are formatting only.,True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-RINGCENTRAL-PHONE,15261ddfbe12,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 800-729-7234,643.14,,215,15,0.000290,end_turn,,2026-05-01T23:38:26.031862+00:00,2026-05-01T23:38:26.675012+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Phone number formatted correctly from spoken digits; no content added or dropped.,True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,CANONICAL-TALKATOO-CENTURY,15261ddfbe12,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,542.67,,230,12,0.000290,end_turn,,2026-05-01T23:38:26.550332+00:00,2026-05-01T23:38:27.093018+00:00,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format applied correctly.,False,none,"Date formatted from spoken form, content preserved.",True,,
smoke-trial-20260501T233823Z,claude-haiku-4-5,anthropic,MONEY-T001,15261ddfbe12,,the total is one seventy one forty one,the total is $171.41,the total is $171.41,508.53,,210,10,0.000260,end_turn,,2026-05-01T23:38:26.648597+00:00,2026-05-01T23:38:27.157144+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,minor_addition,The dollar sign was added but is a reasonable formatting inference; numbers preserved.,True,,
