run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-PERCENT,973439ec38fcb44e,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,152.53,,,,0,stop,,2026-05-06T06:51:47.763350+00:00,2026-05-06T06:51:47.915878+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-RINGCENTRAL-PHONE,973439ec38fcb44e,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807297234,153.43,,,,0,stop,,2026-05-06T06:51:47.763482+00:00,2026-05-06T06:51:47.916906+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-YEAR,973439ec38fcb44e,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,153.76,,,,0,stop,,2026-05-06T06:51:47.763521+00:00,2026-05-06T06:51:47.917275+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-PHONE,973439ec38fcb44e,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 17342722384,155.43,,,,0,stop,,2026-05-06T06:51:47.763445+00:00,2026-05-06T06:51:47.918873+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-ACCOUNT-ID,973439ec38fcb44e,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,156.08,,,,0,stop,,2026-05-06T06:51:47.763254+00:00,2026-05-06T06:51:47.919331+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-ORDERID,973439ec38fcb44e,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17342722384,156.60,,,,0,stop,,2026-05-06T06:51:47.763401+00:00,2026-05-06T06:51:47.920000+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-CURRENCY,973439ec38fcb44e,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $1.71 41,159.55,,,,0,stop,,2026-05-06T06:51:47.760952+00:00,2026-05-06T06:51:47.920502+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-RANGE,973439ec38fcb44e,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",157.39,,,,0,stop,,2026-05-06T06:51:47.763555+00:00,2026-05-06T06:51:47.920949+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-TALKATOO-CENTURY,973439ec38fcb44e,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,55.14,,,,0,stop,,2026-05-06T06:51:47.916322+00:00,2026-05-06T06:51:47.971438+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-003,973439ec38fcb44e,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,54.45,,,,0,stop,,2026-05-06T06:51:47.921123+00:00,2026-05-06T06:51:47.975567+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-007,973439ec38fcb44e,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,61.80,,,,0,stop,,2026-05-06T06:51:47.922826+00:00,2026-05-06T06:51:47.984614+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-004,973439ec38fcb44e,,the bill came to forty seven dollars,the bill came to $47,the bill came to $47,65.85,,,,0,stop,,2026-05-06T06:51:47.921612+00:00,2026-05-06T06:51:47.987457+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-005,973439ec38fcb44e,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,about $35 total,67.83,,,,0,stop,,2026-05-06T06:51:47.922035+00:00,2026-05-06T06:51:47.989860+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-001,973439ec38fcb44e,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,74.11,,,,0,stop,,2026-05-06T06:51:47.917920+00:00,2026-05-06T06:51:47.992020+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-006,973439ec38fcb44e,,we owe two hundred dollars,we owe $200,we owe $200,71.90,,,,0,stop,,2026-05-06T06:51:47.922418+00:00,2026-05-06T06:51:47.994314+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-002,973439ec38fcb44e,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,78.89,,,,0,stop,,2026-05-06T06:51:47.918249+00:00,2026-05-06T06:51:47.997130+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-009,973439ec38fcb44e,,seven hundred fifty dollars please,$750 please,$750 please,25.26,,,,0,stop,,2026-05-06T06:51:47.975909+00:00,2026-05-06T06:51:48.001173+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-008,973439ec38fcb44e,Format currency with the dollar sign.,charge them sixty two dollars,charge them $62,charge them $62,36.29,,,,0,stop,,2026-05-06T06:51:47.972925+00:00,2026-05-06T06:51:48.009211+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-010,973439ec38fcb44e,Use thousands separators in currency.,the deposit is one thousand dollars,"the deposit is $1,000","the deposit is $1,000",55.10,,,,0,stop,,2026-05-06T06:51:47.985403+00:00,2026-05-06T06:51:48.040507+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-011,973439ec38fcb44e,Use thousands separators in currency.,rent is twelve hundred a month,"rent is $1,200 a month","rent is 1,200 a month",53.32,,,,0,stop,,2026-05-06T06:51:47.988827+00:00,2026-05-06T06:51:48.042146+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-012,973439ec38fcb44e,,they quoted eighty nine dollars,they quoted $89,they quoted $89,53.57,,,,0,stop,,2026-05-06T06:51:47.990399+00:00,2026-05-06T06:51:48.043969+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-014,973439ec38fcb44e,,five dollars and twenty cents,$5.20,$5.20,56.64,,,,0,stop,,2026-05-06T06:51:47.994887+00:00,2026-05-06T06:51:48.051523+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E001,973439ec38fcb44e,,the contract is worth two point five million dollars,the contract is worth $2.5M,"the contract is worth $2,500,000",51.92,,,,0,stop,,2026-05-06T06:51:48.001538+00:00,2026-05-06T06:51:48.053460+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E002,973439ec38fcb44e,,we raised one point two billion,we raised $1.2B,"we raised 1,200,000,000",45.57,,,,0,stop,,2026-05-06T06:51:48.009758+00:00,2026-05-06T06:51:48.055326+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-015,973439ec38fcb44e,,just three dollars,just $3,just $3,59.37,,,,0,stop,,2026-05-06T06:51:47.997549+00:00,2026-05-06T06:51:48.056921+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-013,973439ec38fcb44e,,um the total is one twenty nine ninety nine,um the total is $129.99,um the total is $1.29 99,65.54,,,,0,stop,,2026-05-06T06:51:47.992398+00:00,2026-05-06T06:51:48.057936+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E003,973439ec38fcb44e,,budget of about five hundred K,budget of about $500K,budget of about 500 K,39.42,,,,0,stop,,2026-05-06T06:51:48.040894+00:00,2026-05-06T06:51:48.080310+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E004,973439ec38fcb44e,,a loss of negative twelve thousand dollars,"a loss of -$12,000","a loss of negative $12,000",39.91,,,,0,stop,,2026-05-06T06:51:48.042455+00:00,2026-05-06T06:51:48.082366+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E005,973439ec38fcb44e,,the refund was minus forty seven dollars and fifty cents,the refund was -$47.50,the refund was minus $47.50,50.37,,,,0,stop,,2026-05-06T06:51:48.044624+00:00,2026-05-06T06:51:48.094988+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E006,973439ec38fcb44e,,zero dollars charged,$0 charged,$0 charged,59.27,,,,0,stop,,2026-05-06T06:51:48.052198+00:00,2026-05-06T06:51:48.111467+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E008,973439ec38fcb44e,,two hundred dollars and ninety nine cents,$200.99,$200.99,57.78,,,,0,stop,,2026-05-06T06:51:48.055874+00:00,2026-05-06T06:51:48.113653+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E009,973439ec38fcb44e,,one point seven five dollars,$1.75,$1.75,58.06,,,,0,stop,,2026-05-06T06:51:48.057452+00:00,2026-05-06T06:51:48.115513+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E007,973439ec38fcb44e,,twelve dollars and fifty cents,$12.50,$12.50,62.90,,,,0,stop,,2026-05-06T06:51:48.054037+00:00,2026-05-06T06:51:48.116942+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E010,973439ec38fcb44e,,eight cents,$0.08,8¢,60.42,,,,0,stop,,2026-05-06T06:51:48.058284+00:00,2026-05-06T06:51:48.118685+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E011,973439ec38fcb44e,,ninety nine cents,$0.99,99¢,43.70,,,,0,stop,,2026-05-06T06:51:48.080744+00:00,2026-05-06T06:51:48.124434+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E012,973439ec38fcb44e,,two and a half million dollars,$2.5M,2 and a half million dollars,43.42,,,,0,stop,,2026-05-06T06:51:48.082788+00:00,2026-05-06T06:51:48.126208+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-T001,973439ec38fcb44e,,the total is one seventy one forty one,the total is $171.41,the total is $1.71 41,36.38,,,,0,stop,,2026-05-06T06:51:48.095483+00:00,2026-05-06T06:51:48.131859+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-T003,973439ec38fcb44e,,amount due five sixty seven eighty nine,amount due $567.89,amount due $5.67 89,43.77,,,,0,stop,,2026-05-06T06:51:48.114187+00:00,2026-05-06T06:51:48.157953+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-T002,973439ec38fcb44e,,the charge will be three forty two ninety nine,the charge will be $342.99,the charge will be $3.42 99,54.71,,,,0,stop,,2026-05-06T06:51:48.112613+00:00,2026-05-06T06:51:48.167348+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-T005,973439ec38fcb44e,,balance is nine ninety nine ninety nine,balance is $999.99,balance is 99999,53.20,,,,0,stop,,2026-05-06T06:51:48.117242+00:00,2026-05-06T06:51:48.170437+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-P002,973439ec38fcb44e,"Use plain digits, no currency symbol.",the price tag said nineteen ninety nine,the price tag said 19.99,the price tag said $19.99,48.17,,,,0,stop,,2026-05-06T06:51:48.124899+00:00,2026-05-06T06:51:48.173078+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-P003,973439ec38fcb44e,Spell large amounts in millions as $X.XM.,we pulled in twenty seven million dollars last quarter,we pulled in $27M last quarter,"we pulled in $27,000,000 last quarter",52.16,,,,0,stop,,2026-05-06T06:51:48.126817+00:00,2026-05-06T06:51:48.178974+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-T004,973439ec38fcb44e,,they invoiced two ten fifteen,they invoiced $210.15,they invoiced 2 10/15,64.90,,,,0,stop,,2026-05-06T06:51:48.115844+00:00,2026-05-06T06:51:48.180746+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,MONEY-P001,973439ec38fcb44e,Format currency in USD with 2 decimal places.,the total is forty two,the total is $42.00,the total is 42,63.46,,,,0,stop,,2026-05-06T06:51:48.119372+00:00,2026-05-06T06:51:48.182826+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-001,973439ec38fcb44e,Render dates as 'Month Day' (e.g. January 5).,the meeting is on january fifth,the meeting is on January 5,the meeting is on January 5,52.81,,,,0,stop,,2026-05-06T06:51:48.132265+00:00,2026-05-06T06:51:48.185067+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-002,973439ec38fcb44e,Render dates as 'Month Day'.,see you on march twenty third,see you on March 23,see you on March 23,41.90,,,,0,stop,,2026-05-06T06:51:48.158349+00:00,2026-05-06T06:51:48.200251+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-003,973439ec38fcb44e,Render dates as 'Month Day'.,we shipped on july fourth,we shipped on July 4,we shipped on July 4,34.15,,,,0,stop,,2026-05-06T06:51:48.167867+00:00,2026-05-06T06:51:48.202014+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-004,973439ec38fcb44e,,the report is due december first,the report is due December 1,the report is due December 1,43.76,,,,0,stop,,2026-05-06T06:51:48.171425+00:00,2026-05-06T06:51:48.215179+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-005,973439ec38fcb44e,Render dates as 'Month Day'.,she arrived on february fourteenth,she arrived on February 14,she arrived on February fourteenth,48.18,,,,0,stop,,2026-05-06T06:51:48.173737+00:00,2026-05-06T06:51:48.221908+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-009,973439ec38fcb44e,Render dates as 'Month Day'.,we'll meet april second,we'll meet April 2,we'll meet April 2,50.31,,,,0,stop,,2026-05-06T06:51:48.185653+00:00,2026-05-06T06:51:48.235956+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-007,973439ec38fcb44e,Render dates as 'Month Day'.,born november ninth,born November 9,born November 9,55.57,,,,0,stop,,2026-05-06T06:51:48.181098+00:00,2026-05-06T06:51:48.236666+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-008,973439ec38fcb44e,,audit was october twenty second,audit was October 22,audit was October 22,57.03,,,,0,stop,,2026-05-06T06:51:48.183287+00:00,2026-05-06T06:51:48.240320+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-006,973439ec38fcb44e,,on august thirty first he resigned,on August 31 he resigned,on August 31 he resigned,63.39,,,,0,stop,,2026-05-06T06:51:48.179927+00:00,2026-05-06T06:51:48.243315+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-010,973439ec38fcb44e,,appointment may sixteenth,appointment May 16,appointment May 16,52.99,,,,0,stop,,2026-05-06T06:51:48.200837+00:00,2026-05-06T06:51:48.253818+00:00
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off-impeller-stem,impeller-stem-baseline,deepgram,DATE-011,973439ec38fcb44e,,renewal is september eighth,renewal is September 8,renewal is September 8,52.15,,,,0,stop,,2026-05-06T06:51:48.202510+00:00,2026-05-06T06:51:48.254660+00:00
