run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,chain_input_text,baseline_model_id,baseline_error,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,CANONICAL-CRESTA-PERCENT,7d8c326253d4,,satisfaction was one hundred percent,satisfaction was 100%,"satisfaction was 100%
",1101.40,892.12,2199,10,8.956e-05,stop,,2026-05-06T08:19:40.372815+00:00,2026-05-06T08:19:41.479236+00:00,satisfaction was 100%,impeller-stem-baseline,,True,,,pass,Matches reference exactly aside from trailing newline.,n_a,No instruction provided.,False,none,"""One hundred percent"" formatted as ""100%"" preserves meaning exactly.",True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,CANONICAL-AVOMA-YEAR,7d8c326253d4,,we expect to launch in twenty twenty six,we expect to launch in 2026,"we expect to launch in 2026
",1132.08,970.91,2201,12,8.996e-05,stop,,2026-05-06T08:19:40.373152+00:00,2026-05-06T08:19:41.505264+00:00,we expect to launch in 2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly aside from trailing newline.,n_a,No instruction provided.,False,none,Year formatted as numeral; content preserved.,True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,CANONICAL-CRESTA-CURRENCY,7d8c326253d4,,the total amount is one seventy one forty one,the total amount is $171.41,"the total amount is $1.71 41
",1144.07,821.12,2203,14,9.036e-05,stop,,2026-05-06T08:19:40.372429+00:00,2026-05-06T08:19:41.516577+00:00,the total amount is $1.71 41,impeller-stem-baseline,,False,,,numeric_drift,"Output ""$1.71 41"" misformats $171.41, splitting the value incorrectly.",n_a,No instruction provided.,True,fabricated,"The output incorrectly formats ""one seventy one forty one"" as ""$1.71 41"", fabricating a dollar sign and misinterpreting the number structure.",True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,CANONICAL-NIAGARA-ORDERID,7d8c326253d4,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,"your reference is xx-34272-384
",1119.10,594.72,2229,16,9.172e-05,stop,,2026-05-06T08:19:40.372893+00:00,2026-05-06T08:19:41.492019+00:00,your reference is 17342722384,impeller-stem-baseline,,False,,,numeric_drift,"Replaced ""17"" with literal ""xx"" and dropped a digit from the last group (2384 → 384).",ignored,Did not start with 17 and did not follow the xx-xxxxx-xxxx digit count.,True,fabricated,"Output adds ""xx-"" prefix not in input and drops digits; input is 17342722384 but output shows 34272-384.",True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,CANONICAL-AVOMA-RANGE,7d8c326253d4,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000
",1175.96,1044.85,2205,16,9.076e-05,stop,,2026-05-06T08:19:40.373226+00:00,2026-05-06T08:19:41.549206+00:00,"the budget range is $8,090,000",impeller-stem-baseline,,False,,,numeric_drift,"Candidate concatenated into $8,090,000 instead of a range 80,000–90,000.",n_a,No instruction provided.,True,fabricated,"""Eighty ninety thousand"" was incorrectly converted to $8,090,000 instead of representing a range like $80,000-$90,000.",True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,CANONICAL-RINGCENTRAL-PHONE,7d8c326253d4,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,"you can reach us at 807-297-234
",1178.05,740.37,2206,19,9.128e-05,stop,,2026-05-06T08:19:40.373080+00:00,2026-05-06T08:19:41.551146+00:00,you can reach us at 807297234,impeller-stem-baseline,,False,,,numeric_drift,Phone digits misgrouped and one digit dropped: produced 807-297-234 (9 digits) instead of 800-729-7234.,n_a,No formatting instruction was provided.,True,dropped_content,"Input has 11 digits (800-729-7234) but output only contains 9 digits, dropping the final ""4"" and misformatting the number.",True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,CANONICAL-NIAGARA-PHONE,7d8c326253d4,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,"+1-734-272-2384
",1188.65,665.30,2217,17,9.14e-05,stop,,2026-05-06T08:19:40.373000+00:00,2026-05-06T08:19:41.561673+00:00,your reference is 17342722384,impeller-stem-baseline,,False,,,pass,"Correct phone number in US format, though prefix text dropped is minor.",followed,US phone format applied.,False,fabricated,"Output drops ""your reference is"" context and formats digits as a phone number with a fabricated ""+1"" country code; input digits 1-734-272-2384 are present but reframing as phone number adds unsupported content.",False,judge_pass_em_fail,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,MONEY-006,7d8c326253d4,,we owe two hundred dollars,we owe $200,"we owe $200
",990.81,723.72,2197,8,8.916e-05,stop,,2026-05-06T08:19:41.561904+00:00,2026-05-06T08:19:42.552756+00:00,we owe $200,impeller-stem-baseline,,True,,,pass,Matches reference exactly aside from trailing newline.,n_a,No instruction provided.,False,none,"""two hundred dollars"" correctly formatted as ""$200"".",True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,MONEY-002,7d8c326253d4,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,"she paid $20
",1030.16,706.82,2207,7,8.94e-05,stop,,2026-05-06T08:19:41.505552+00:00,2026-05-06T08:19:42.535776+00:00,she paid $20,impeller-stem-baseline,,True,,,pass,Matches reference exactly aside from trailing newline.,followed,Used dollar sign as instructed.,False,none,"""twenty bucks"" formatted as ""$20"" preserves meaning.",True,,
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09,nemotron-nano-9b,impeller-stem+nvidia,MONEY-001,7d8c326253d4,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,"the coffee was $4.50
",1063.61,567.23,2210,10,9e-05,stop,,2026-05-06T08:19:41.492410+00:00,2026-05-06T08:19:42.556140+00:00,the coffee was $4.50,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""four fifty"" formatted as ""$4.50"" preserves meaning.",True,,
