id,entity_class,variant,prompt,input_text,expected_output,difficulty,domain,source,notes
CANONICAL-CRESTA-CURRENCY,MONEY,spoken_split,,the total amount is one seventy one forty one,the total amount is $171.41,canonical,contact_center,customer_canonical,"numeric currency split — must not produce $1.71+41 or $171,410"
CANONICAL-CRESTA-ACCOUNT-ID,NUMERIC_ID,contiguous_digits,,your account number is one hundred two oh three oh oh four,your account number is 100203004,canonical,contact_center,customer_canonical,contiguous digits — must not drop a digit or render as currency
CANONICAL-CRESTA-PERCENT,PERCENT,hundred_percent,,satisfaction was one hundred percent,satisfaction was 100%,canonical,contact_center,customer_canonical,must not drop the 100
CANONICAL-NIAGARA-ORDERID,NUMERIC_ID,disambiguation,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,canonical,contact_center,customer_canonical,same digits as canonical-niagara-phone — prompt disambiguates
CANONICAL-NIAGARA-PHONE,PHONE_NUMBER,disambiguation,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,canonical,contact_center,customer_canonical,same digits as canonical-niagara-orderid — prompt disambiguates
CANONICAL-RINGCENTRAL-PHONE,PHONE_NUMBER,no_digit_drop,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,canonical,contact_center,customer_canonical,must not produce 807-297-234 (digit drop)
CANONICAL-AVOMA-YEAR,CARDINAL,year_context,,we expect to launch in twenty twenty six,we expect to launch in 2026,canonical,meeting,customer_canonical,"year context — must not produce 2,026"
CANONICAL-AVOMA-RANGE,CARDINAL,range_no_concat,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000",canonical,finance,customer_canonical,"must not produce 8,090,000"
CANONICAL-TALKATOO-CENTURY,DATE,century_disambig,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,canonical,medical,customer_canonical,must not produce 02/06/1926
MONEY-001,MONEY,basic,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,basic,contact_center,synthetic,
MONEY-002,MONEY,basic,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,basic,generic,synthetic,
MONEY-003,MONEY,basic,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,basic,voice_agent,synthetic,
MONEY-004,MONEY,basic,,the bill came to forty seven dollars,the bill came to $47,basic,contact_center,synthetic,
MONEY-005,MONEY,basic,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,basic,finance,synthetic,
