id,entity_class,variant,prompt,input_text,expected_output,difficulty,domain,source,notes
ADV-STEM-MONEY-SPLIT-001,MONEY,spoken_split,,the total amount is one seventy one forty one,the total amount is $171.41,adversarial,contact_center,impeller_stem_adversarial,"classic split-currency ambiguity; pipeline must both detect and format the full span"
ADV-STEM-MONEY-SPLIT-002,MONEY,spoken_split,,your remaining balance is three forty two ninety nine and the late fee is twenty five,your remaining balance is $342.99 and the late fee is $25,adversarial,contact_center,impeller_stem_adversarial,"two money entities with one split cents form"
ADV-STEM-MONEY-DATE-001,MONEY,context_disambiguation,,the invoice says amount due one oh five seventeen not the service date,the invoice says amount due $105.17 not the service date,adversarial,finance,impeller_stem_adversarial,"looks like a date but financial context should prefer money"
ADV-STEM-MONEY-RANGE-001,MONEY,range_no_concat,,the quote range is eighty ninety thousand dollars,the quote range is $80,000-$90,000,adversarial,finance,impeller_stem_adversarial,"should not collapse range into one huge number"
ADV-STEM-MONEY-MULTIPLIER-001,MONEY,multiplier_suffix,,the contract value is two point five million dollars with a one point two billion ceiling,the contract value is $2.5M with a $1.2B ceiling,adversarial,finance,impeller_stem_adversarial,"multiple multiplier words in one utterance"
ADV-STEM-PHONE-DROP-001,PHONE_NUMBER,no_digit_drop,,call back at eight hundred seven two nine seven two three four,call back at 800-729-7234,adversarial,contact_center,impeller_stem_adversarial,"known digit-drop style phone case"
ADV-STEM-PHONE-ONEPREFIX-001,PHONE_NUMBER,country_prefix,This is a US phone number.,the reference number is one seven three four two seven two two three eight four,the reference number is +1-734-272-2384,adversarial,contact_center,impeller_stem_adversarial,"same digits can be an ID or a phone; baseline ignores prompt"
ADV-STEM-ID-ORDER-001,NUMERIC_ID,hyphenated_order_id,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",the reference number is one seven three four two seven two two three eight four,the reference number is 17-34272-2384,adversarial,contact_center,impeller_stem_adversarial,"same digits can be phone or order ID; baseline ignores prompt"
ADV-STEM-ID-ZERO-001,NUMERIC_ID,oh_zero_mix,,your account number is one hundred two oh three oh oh four,your account number is 100203004,adversarial,contact_center,impeller_stem_adversarial,"zero/oh handling plus account context"
ADV-STEM-ID-ALPHA-001,NUMERIC_ID,alphanumeric_tracking,,the tracking number is one z nine nine eight three seven four oh one two three four five six seven eight,the tracking number is 1Z9983740123456789,adversarial,contact_center,impeller_stem_adversarial,"alphanumeric ID with letter z and oh"
ADV-STEM-CARD-001,CREDIT_CARD,long_digit_sequence,,the card number is four one one one one one one one one one one one one two three four,the card number is 4111 1111 1111 1234,adversarial,contact_center,impeller_stem_adversarial,"long digit sequence should not drop or group incorrectly"
ADV-STEM-CARD-REDIRECT-001,CREDIT_CARD,redaction_prompt,Redact all but the last 4 digits of the card number as XXXX XXXX XXXX ####.,please charge card four one one one one one one one one one one one one two three four,please charge card XXXX XXXX XXXX 1234,adversarial,contact_center,impeller_stem_adversarial,"baseline ignores prompt and dev formatter has no per-row prompt channel"
ADV-STEM-SSN-001,SSN,dash_words,,the social is five five five dash one two dash one two three four,the social is 555-12-1234,adversarial,contact_center,impeller_stem_adversarial,"spoken dash words inside an SSN"
ADV-STEM-SSN-REDACT-001,SSN,redaction_prompt,Redact SSNs to XXX-XX-####.,the social is five five five one two one two three four,the social is XXX-XX-1234,adversarial,contact_center,impeller_stem_adversarial,"baseline ignores redaction prompt"
ADV-STEM-DATE-CENTURY-001,DATE,century_prompt,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,adversarial,medical,impeller_stem_adversarial,"two-digit year requires prompt context the baseline does not pass through"
ADV-STEM-DATE-SLASH-001,DATE,slash_words,,date of birth is oh two slash oh six slash nineteen ninety eight,date of birth is 02/06/1998,adversarial,medical,impeller_stem_adversarial,"spoken slash tokens inside a date"
