run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-ORDERID,973439ec38fcb44e,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17342722384,196.36,,,,0,stop,,2026-05-06T07:00:34.346212+00:00,2026-05-06T07:00:34.542570+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-PHONE,973439ec38fcb44e,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 17342722384,196.80,,,,0,stop,,2026-05-06T07:00:34.346256+00:00,2026-05-06T07:00:34.543050+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-RANGE,973439ec38fcb44e,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",198.40,,,,0,stop,,2026-05-06T07:00:34.346371+00:00,2026-05-06T07:00:34.544754+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-PERCENT,973439ec38fcb44e,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,201.90,,,,0,stop,,2026-05-06T07:00:34.346157+00:00,2026-05-06T07:00:34.548047+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-YEAR,973439ec38fcb44e,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,202.75,,,,0,stop,,2026-05-06T07:00:34.346337+00:00,2026-05-06T07:00:34.549081+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-RINGCENTRAL-PHONE,973439ec38fcb44e,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807297234,203.40,,,,0,stop,,2026-05-06T07:00:34.346297+00:00,2026-05-06T07:00:34.549690+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-ACCOUNT-ID,973439ec38fcb44e,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,206.24,,,,0,stop,,2026-05-06T07:00:34.346065+00:00,2026-05-06T07:00:34.552304+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-CURRENCY,973439ec38fcb44e,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $1.71 41,209.59,,,,0,stop,,2026-05-06T07:00:34.344093+00:00,2026-05-06T07:00:34.553687+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-TALKATOO-CENTURY,973439ec38fcb44e,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,45.09,,,,0,stop,,2026-05-06T07:00:34.543308+00:00,2026-05-06T07:00:34.588391+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-002,973439ec38fcb44e,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,49.39,,,,0,stop,,2026-05-06T07:00:34.545231+00:00,2026-05-06T07:00:34.594617+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-001,973439ec38fcb44e,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,57.46,,,,0,stop,,2026-05-06T07:00:34.543802+00:00,2026-05-06T07:00:34.601248+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-004,973439ec38fcb44e,,the bill came to forty seven dollars,the bill came to $47,the bill came to $47,52.68,,,,0,stop,,2026-05-06T07:00:34.550854+00:00,2026-05-06T07:00:34.603534+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-007,973439ec38fcb44e,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,61.12,,,,0,stop,,2026-05-06T07:00:34.554489+00:00,2026-05-06T07:00:34.615603+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-006,973439ec38fcb44e,,we owe two hundred dollars,we owe $200,we owe $200,65.56,,,,0,stop,,2026-05-06T07:00:34.552911+00:00,2026-05-06T07:00:34.618468+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-005,973439ec38fcb44e,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,about $35 total,69.30,,,,0,stop,,2026-05-06T07:00:34.551208+00:00,2026-05-06T07:00:34.620504+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-003,973439ec38fcb44e,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,73.28,,,,0,stop,,2026-05-06T07:00:34.550174+00:00,2026-05-06T07:00:34.623447+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-008,973439ec38fcb44e,Format currency with the dollar sign.,charge them sixty two dollars,charge them $62,charge them $62,41.18,,,,0,stop,,2026-05-06T07:00:34.588711+00:00,2026-05-06T07:00:34.629862+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-009,973439ec38fcb44e,,seven hundred fifty dollars please,$750 please,$750 please,51.85,,,,0,stop,,2026-05-06T07:00:34.595028+00:00,2026-05-06T07:00:34.646869+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-010,973439ec38fcb44e,Use thousands separators in currency.,the deposit is one thousand dollars,"the deposit is $1,000","the deposit is $1,000",46.98,,,,0,stop,,2026-05-06T07:00:34.601867+00:00,2026-05-06T07:00:34.648848+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-011,973439ec38fcb44e,Use thousands separators in currency.,rent is twelve hundred a month,"rent is $1,200 a month","rent is 1,200 a month",56.34,,,,0,stop,,2026-05-06T07:00:34.604180+00:00,2026-05-06T07:00:34.660516+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-015,973439ec38fcb44e,,just three dollars,just $3,just $3,44.37,,,,0,stop,,2026-05-06T07:00:34.624059+00:00,2026-05-06T07:00:34.668423+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-014,973439ec38fcb44e,,five dollars and twenty cents,$5.20,$5.20,49.22,,,,0,stop,,2026-05-06T07:00:34.621426+00:00,2026-05-06T07:00:34.670640+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-012,973439ec38fcb44e,,they quoted eighty nine dollars,they quoted $89,they quoted $89,55.00,,,,0,stop,,2026-05-06T07:00:34.616302+00:00,2026-05-06T07:00:34.671309+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-013,973439ec38fcb44e,,um the total is one twenty nine ninety nine,um the total is $129.99,um the total is $1.29 99,55.05,,,,0,stop,,2026-05-06T07:00:34.618959+00:00,2026-05-06T07:00:34.674010+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E001,973439ec38fcb44e,,the contract is worth two point five million dollars,the contract is worth $2.5M,"the contract is worth $2,500,000",47.60,,,,0,stop,,2026-05-06T07:00:34.630512+00:00,2026-05-06T07:00:34.678110+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E002,973439ec38fcb44e,,we raised one point two billion,we raised $1.2B,"we raised 1,200,000,000",50.96,,,,0,stop,,2026-05-06T07:00:34.647303+00:00,2026-05-06T07:00:34.698260+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E003,973439ec38fcb44e,,budget of about five hundred K,budget of about $500K,budget of about 500 K,50.41,,,,0,stop,,2026-05-06T07:00:34.649396+00:00,2026-05-06T07:00:34.699802+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E004,973439ec38fcb44e,,a loss of negative twelve thousand dollars,"a loss of -$12,000","a loss of negative $12,000",53.70,,,,0,stop,,2026-05-06T07:00:34.660838+00:00,2026-05-06T07:00:34.714533+00:00
chained-full-impeller-stem-gpt-oss-120b-groq-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-E007,973439ec38fcb44e,,twelve dollars and fifty cents,$12.50,$12.50,54.18,,,,0,stop,,2026-05-06T07:00:34.672329+00:00,2026-05-06T07:00:34.726506+00:00
