run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-CRESTA-PERCENT,15261ddfbe12,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,322.30,309.06,257,97,0.0001627,stop,,2026-05-03T07:42:58.241938+00:00,2026-05-03T07:42:58.564261+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""One hundred percent"" formatted as ""100%"" preserves meaning exactly.",True,,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-RINGCENTRAL-PHONE,15261ddfbe12,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807-297-234,320.07,311.19,265,237,0.0002705,stop,,2026-05-03T07:42:58.242110+00:00,2026-05-03T07:42:58.562193+00:00,False,,,numeric_drift,"Candidate produced 807-297-234 (only 9 digits), dropping a digit and misgrouping from the correct 800-729-7234.",n_a,No formatting instruction was provided.,True,dropped_content,"The input has 11 digits (800-729-7234) but the output only contains 9 digits, dropping the final ""4"" and misformatting the number.",True,,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-AVOMA-RANGE,15261ddfbe12,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000",the budget range is 80–90 thousand,319.53,317.48,258,138,0.0001938,stop,,2026-05-03T07:42:58.242203+00:00,2026-05-03T07:42:58.561770+00:00,False,,,pass,"""80–90 thousand"" is a stylistically equivalent representation of the same range.",n_a,No formatting instruction provided.,False,none,Numbers formatted with en-dash; content preserved.,False,judge_pass_em_fail,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-AVOMA-YEAR,15261ddfbe12,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,301.54,293.12,259,90,0.00015815,stop,,2026-05-03T07:42:58.242158+00:00,2026-05-03T07:42:58.543785+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Year formatted numerically; content preserved.,True,,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-NIAGARA-ORDERID,15261ddfbe12,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-34272-2384,446.16,436.95,286,380,0.0003851,stop,,2026-05-03T07:42:58.242005+00:00,2026-05-03T07:42:58.688220+00:00,True,,,pass,Matches reference exactly.,followed,Format xx-xxxxx-xxxx starting with 17 honored.,False,none,Digits 17342722384 match the spoken sequence; hyphens are formatting only.,True,,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-CRESTA-ACCOUNT-ID,15261ddfbe12,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,465.30,452.40,263,218,0.00025555,stop,,2026-05-03T07:42:58.241821+00:00,2026-05-03T07:42:58.707166+00:00,False,,,numeric_drift,"Candidate output 10203004 has 8 digits; reference 100203004 has 9 digits. ""One hundred two"" should yield 102, but candidate produced 10 2.",n_a,No instruction provided.,True,none,"The spoken digits ""one hundred two oh three oh oh four"" correctly format to 10203004.",True,,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-CRESTA-CURRENCY,15261ddfbe12,,the total amount is one seventy one forty one,the total amount is $171.41,"the total amount is 171,041",488.25,485.10,260,213,0.00025075,stop,,2026-05-03T07:42:58.239782+00:00,2026-05-03T07:42:58.728081+00:00,False,,,numeric_drift,"Candidate produced 171,041 instead of $171.41, altering the numeric value and dropping currency.",n_a,No instruction provided.,True,fabricated,"""one seventy one forty one"" was formatted as 171,041, but it should be 171.41 or 17141; the inserted 0 is fabricated.",True,,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,MONEY-003,15261ddfbe12,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,257.06,252.68,266,132,0.0001921,stop,,2026-05-03T07:42:58.564559+00:00,2026-05-03T07:42:58.821669+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" correctly formatted as $9.99.",True,,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,CANONICAL-NIAGARA-PHONE,15261ddfbe12,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is +1 (734) 272-2384,531.97,516.18,275,473,0.000451,stop,,2026-05-03T07:42:58.242060+00:00,2026-05-03T07:42:58.774077+00:00,False,,,pass,Phone number digits match reference; formatting is a valid US style variant.,followed,Formatted as a US phone number with country code.,False,fabricated,"The input is a reference number (17342722384), but the output formatted it as a phone number with a fabricated ""+1"" country code and parentheses, misrepresenting the content type.",False,judge_pass_em_fail,
gpt-oss-120b-nitro-20260503T074257Z,gpt-oss-120b-nitro,openrouter-nitro,MONEY-002,15261ddfbe12,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,319.03,314.80,265,86,0.00015725,stop,,2026-05-03T07:42:58.562695+00:00,2026-05-03T07:42:58.881769+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""twenty bucks"" correctly formatted as ""$20"" without altering meaning.",True,,
