run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,chain_input_text,baseline_model_id,baseline_error,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-CRESTA-PERCENT,7d8c326253d4,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,819.20,803.08,2161,13,0.00048588,stop,,2026-05-06T06:51:51.126023+00:00,2026-05-06T06:51:51.945251+00:00,satisfaction was 100%,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""One hundred percent"" formatted as ""100%"" preserves meaning.",True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-AVOMA-RANGE,7d8c326253d4,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",841.12,774.69,2168,19,0.00063993,stop,,2026-05-06T06:51:51.126429+00:00,2026-05-06T06:51:51.967587+00:00,"the budget range is $8,090,000",impeller-stem-baseline,,False,,,numeric_drift,"Candidate produced $8,090,000 instead of the range 80,000–90,000, a numeric drift on a CARDINAL entity.",n_a,No formatting instruction provided.,True,fabricated,"""Eighty ninety thousand"" likely means $80-90k range, but output fabricates $8,090,000, misrepresenting the number.",True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-CRESTA-CURRENCY,7d8c326253d4,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $1.71 41,637.73,596.83,2166,17,0.00063817,stop,,2026-05-06T06:51:51.125753+00:00,2026-05-06T06:51:51.766436+00:00,the total amount is $1.71 41,impeller-stem-baseline,,False,,,numeric_drift,"Candidate produced ""$1.71 41"" instead of ""$171.41"", drifting the money value.",n_a,No formatting instruction was given.,True,fabricated,"The output formats ""one seventy one forty one"" as ""$1.71 41"", fabricating a dollar sign and an awkward number format not justified by the input.",True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-AVOMA-YEAR,7d8c326253d4,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,848.45,816.14,2164,15,0.00056217,stop,,2026-05-06T06:51:51.126359+00:00,2026-05-06T06:51:51.974832+00:00,we expect to launch in 2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Year formatted as numeral; content preserved.,True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-NIAGARA-ORDERID,7d8c326253d4,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-3427-22384,658.16,606.92,2193,22,0.00064895,stop,,2026-05-06T06:51:51.126103+00:00,2026-05-06T06:51:51.784295+00:00,your reference is 17342722384,impeller-stem-baseline,,False,,,style_violation,Digits are correct but grouping doesn't match the specified xx-xxxxx-xxxx format.,partial,Started with 17 and used dashes but used wrong segment lengths.,False,fabricated,"Input digits are 1-7-3-4-2-7-2-2-3-8-4 but output shows 17-3427-22384, which reorders/regroups digits incorrectly (e.g., ""3427"" vs input ""3-4-2-7"" is okay, but ""22384"" has 5 digits matching 2-2-3-8-4 — actually digits match in order). Wait, digits in order: 1,7,3,4,2,7,2,2,3,8,4 = 17 3427 22384. Digits preserved.",True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-CRESTA-ACCOUNT-ID,7d8c326253d4,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,863.42,816.29,2167,18,0.00049057,stop,,2026-05-06T06:51:51.125929+00:00,2026-05-06T06:51:51.989375+00:00,your account number is 10203004,impeller-stem-baseline,,False,,,numeric_drift,"Candidate produced 10203004 (8 digits) instead of 100203004 (9 digits) — dropped a zero from ""one hundred"".",n_a,No formatting instruction provided.,True,none,Spoken digits correctly formatted as numeric account number.,True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-TALKATOO-CENTURY,7d8c326253d4,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,330.43,308.01,2187,18,0.00042213,stop,,2026-05-06T06:51:51.766753+00:00,2026-05-06T06:51:52.097219+00:00,exam date 02/06/2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format honored.,False,none,Date formatted from spoken form to numeric MM/DD/YYYY without adding or dropping content.,True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,MONEY-003,7d8c326253d4,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,438.65,426.79,2172,12,0.00034,stop,,2026-05-06T06:51:51.968396+00:00,2026-05-06T06:51:52.407085+00:00,it costs $9.99,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" correctly formatted as $9.99.",True,,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-NIAGARA-PHONE,7d8c326253d4,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 1-734-272-2384,1213.96,1149.20,2180,23,0.00034881,stop,,2026-05-06T06:51:51.126205+00:00,2026-05-06T06:51:52.340184+00:00,your reference is 17342722384,impeller-stem-baseline,,False,,,pass,"Same digits, valid US phone formatting variant without explicit + prefix.",followed,Formatted as US phone number.,False,dropped_content,"Input has 11 digits (17342722384) but output only contains 10 digits, dropping one digit.",False,judge_pass_em_fail,
chained-full-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-RINGCENTRAL-PHONE,7d8c326253d4,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807-297-234,853.22,810.47,2169,22,0.00056775,stop,,2026-05-06T06:51:51.126287+00:00,2026-05-06T06:51:51.979530+00:00,you can reach us at 807297234,impeller-stem-baseline,,False,,,numeric_drift,Candidate misgrouped digits and produced 807-297-234 (only 9 digits) instead of 800-729-7234.,n_a,No formatting instruction was provided.,True,dropped_content,"The input has 11 digits (800-729-7234) but the output only contains 9 digits (807-297-234), dropping digits.",True,,
