model_id,vendor,family,model_full_name,params_total,params_active,architecture,context_window,license,open_weight,release_date,source_url,notes
claude-opus-4-7,Anthropic,claude,Claude Opus 4.7,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-16,https://www.anthropic.com/news/claude-opus-4-7,Frontier Anthropic model. 1M context on API; 200K default in Claude apps.
claude-opus-4-7-thinking,Anthropic,claude,Claude Opus 4.7 (Extended Thinking),undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-16,https://www.anthropic.com/news/claude-opus-4-7,Same model as claude-opus-4-7 with extended thinking enabled (budget=1024).
claude-sonnet-4-6,Anthropic,claude,Claude Sonnet 4.6,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6,1M context GA. Mid-tier Anthropic model.
claude-haiku-4-5,Anthropic,claude,Claude Haiku 4.5,undisclosed,undisclosed,unknown,200K,Proprietary,false,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,First Haiku with extended thinking and computer use; 64K output.
gpt-5-5,OpenAI,gpt,GPT-5.5,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-23,https://openai.com/index/introducing-gpt-5-5/,Frontier OpenAI model; API GA 2026-04-24.
gpt-5-5-reasoning-low,OpenAI,gpt,GPT-5.5 (reasoning=low),undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-23,https://openai.com/index/introducing-gpt-5-5/,Same model with reasoning effort set to low.
gpt-5-5-mini,OpenAI,gpt,GPT-5.5-mini,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-23,https://openai.com/index/introducing-gpt-5-5/,Smaller GPT-5.5 variant; released alongside GPT-5.5.
gpt-5-4-mini,OpenAI,gpt,GPT-5.4-mini,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-03-17,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,Released alongside GPT-5.4-nano.
gemini-3-1-pro-thinking,Google,gemini,Gemini 3.1 Pro,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-02-19,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-pro/,Frontier Google DeepMind model; 1.05M tokens input / 65K output.
gemini-3-1-flash,Google,gemini,Gemini 3.1 Flash,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-03-03,https://deepmind.google/models/model-cards/gemini-3-1-flash-lite/,Mid-tier Gemini 3.1; 1M context input.
grok-4,xAI,grok,Grok 4,undisclosed,undisclosed,unknown,256K,Proprietary,false,2025-07-09,https://x.ai/news/grok-4,Frontier xAI reasoning model; native tool use; trained on Colossus.
deepseek-v3-1-terminus,DeepSeek,deepseek,DeepSeek-V3.1-Terminus,685B,37B,moe,128K,MIT,true,2025-09-22,https://huggingface.co/deepseek-ai/DeepSeek-V3.1-Terminus,Updated V3.1 with improved agentic tool use and language consistency.
deepseek-v3-2,DeepSeek,deepseek,DeepSeek-V3.2,685B,37B,moe,128K,MIT,true,2025-12-01,https://api-docs.deepseek.com/news/news251201,Successor to V3.2-Exp; sparse-attention reasoning-first model.
deepseek-v4-flash,DeepSeek,deepseek,DeepSeek-V4-Flash,?,?,moe,1M,MIT,true,2026-04-01,https://openrouter.ai/deepseek/deepseek-v4-flash,DeepSeek V4 Flash; 1M context. Cheap fast tier.
gpt-oss-120b-nitro,OpenAI,gpt-oss,GPT-OSS-120B (OR :nitro),117B,5.1B,moe,131K,Apache-2.0,true,2025-08-05,https://openrouter.ai/openai/gpt-oss-120b,Routed via OpenRouter :nitro shortcut (fastest provider); currently Cerebras.
kimi-k2-6,Moonshot AI,kimi,Kimi K2.6,1T,32B,moe,256K,MIT-Modified,true,2026-04-15,https://openrouter.ai/moonshotai/kimi-k2.6,Non-thinking variant; 256K context. Open-weight Modified MIT.
deepseek-r1,DeepSeek,deepseek,DeepSeek-R1,671B,37B,moe,128K,MIT,true,2025-01-20,https://api-docs.deepseek.com/news/news250120,First open-weight model to match o1 reasoning; MIT licensed.
qwen3-235b,Alibaba/Qwen,qwen,Qwen3-235B-A22B-Instruct-2507,235B,22B,moe,256K,Apache-2.0,true,2025-07-22,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,128 experts (8 active); 256K native context extendable to 1M.
qwen3-235b-thinking,Alibaba/Qwen,qwen,Qwen3-235B-A22B-Thinking-2507,235B,22B,moe,256K,Apache-2.0,true,2025-07-25,https://huggingface.co/Qwen/Qwen3-235B-A22B-Thinking-2507,Reasoning variant of 235B-A22B-2507.
qwen3-5-397b,Alibaba/Qwen,qwen,Qwen3.5-397B-A17B,397B,17B,moe,256K,Apache-2.0,true,2026-02-16,https://huggingface.co/Qwen/Qwen3.5-397B-A17B,Native multimodal Qwen3.5 flagship; Gated DeltaNet + sparse MoE.
qwen3-next-80b,Alibaba/Qwen,qwen,Qwen3-Next-80B-A3B-Instruct,80B,3B,moe,256K,Apache-2.0,true,2025-09-11,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct,High-sparsity hybrid Gated DeltaNet + Gated Attention MoE.
qwen3-next-80b-thinking,Alibaba/Qwen,qwen,Qwen3-Next-80B-A3B-Thinking,80B,3B,moe,256K,Apache-2.0,true,2025-09-11,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Thinking,Reasoning variant of Qwen3-Next-80B.
qwen3-5-122b,Alibaba/Qwen,qwen,Qwen3.5-122B-A10B,122B,10B,moe,256K,Apache-2.0,true,2026-02-24,https://huggingface.co/Qwen/Qwen3.5-122B-A10B,Mid-tier Qwen3.5 MoE; native multimodal.
qwen3-30b,Alibaba/Qwen,qwen,Qwen3-30B-A3B-Instruct-2507,30B,3B,moe,256K,Apache-2.0,true,2025-07-29,https://huggingface.co/Qwen/Qwen3-30B-A3B-Instruct-2507,128 experts (8 active); extendable to 1M with DCA+MInference.
qwen3-30b-thinking,Alibaba/Qwen,qwen,Qwen3-30B-A3B-Thinking-2507,30B,3B,moe,256K,Apache-2.0,true,2025-07-30,https://huggingface.co/Qwen/Qwen3-30B-A3B-Thinking-2507,Reasoning variant; competitive with larger models on math/code.
qwen3-5-27b,Alibaba/Qwen,qwen,Qwen3.5-27B,27B,27B,dense,256K,Apache-2.0,true,2026-02-24,https://huggingface.co/Qwen/Qwen3.5-27B,Dense Qwen3.5 model; native multimodal; Gated DeltaNet + FFN.
qwen3-5-35b,Alibaba/Qwen,qwen,Qwen3.5-35B-A3B,35B,3B,moe,256K,Apache-2.0,true,2026-02-24,https://huggingface.co/Qwen/Qwen3.5-35B-A3B,Sparse MoE; 35B total / 3B active; native multimodal.
qwen3-6-35b,Alibaba/Qwen,qwen,Qwen3.6-35B-A3B,35B,3B,moe,unknown,Apache-2.0,true,n/a,https://openrouter.ai/qwen/qwen3.6-35b-a3b,Sparse MoE; OpenRouter slug qwen/qwen3.6-35b-a3b.
qwen3-14b,Alibaba/Qwen,qwen,Qwen3-14B,14B,14B,dense,128K,Apache-2.0,true,2025-04-29,https://huggingface.co/Qwen/Qwen3-14B,Native 32K context; 128K with YaRN. Hybrid thinking/non-thinking.
qwen3-8b,Alibaba/Qwen,qwen,Qwen3-8B,8B,8B,dense,128K,Apache-2.0,true,2025-04-29,https://huggingface.co/Qwen/Qwen3-8B,Native 32K context; 128K with YaRN.
qwen3-5-9b,Alibaba/Qwen,qwen,Qwen3.5-9B,9B,9B,dense,256K,Apache-2.0,true,2026-03-02,https://huggingface.co/Qwen/Qwen3.5-9B,Dense small Qwen3.5 with native multimodal.
gpt-oss-120b,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,true,2025-08-05,https://openai.com/index/introducing-gpt-oss/,OpenAI's first open-weight model since GPT-2; Apache 2.0.
gpt-oss-20b,OpenAI,gpt-oss,gpt-oss-20b,21B,3.6B,moe,128K,Apache-2.0,true,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Released alongside gpt-oss-120b; consumer hardware friendly.
mistral-small-3-1-24b,Mistral,mistral,Mistral-Small-3.1-24B-Instruct-2503,24B,24B,dense,128K,Apache-2.0,true,2025-03-17,https://mistral.ai/news/mistral-small-3-1,Vision-capable; ~150 tok/s inference.
mistral-small-3-2-24b,Mistral,mistral,Mistral-Small-3.2-24B-Instruct-2506,24B,24B,dense,128K,Apache-2.0,true,2025-06-20,https://docs.mistral.ai/models/mistral-small-3-2-25-06,3.1 update; better instruction following and tool use.
mistral-small-2603,Mistral,mistral,Mistral-Small-4-119B-2603,119B,6B,moe,256K,Apache-2.0,true,2026-03-16,https://huggingface.co/mistralai/Mistral-Small-4-119B-2603,Mistral Small 4 — hybrid instruct/reasoning/coding MoE; registry's 24B figure is outdated.
mistral-nemo,Mistral,mistral,Mistral-Nemo-Instruct-2407,12B,12B,dense,128K,Apache-2.0,true,2024-07-18,https://mistral.ai/news/mistral-nemo,Built with NVIDIA; FP8-quant aware training.
ministral-14b,Mistral,ministral,Ministral-3-14B-Instruct-2512,14B,14B,dense,128K,Apache-2.0,true,2025-12-02,https://huggingface.co/mistralai/Ministral-3-14B-Instruct-2512,Mistral 3 family with multimodal (image understanding).
ministral-8b,Mistral,ministral,Ministral-8B-Instruct-2410,8B,8B,dense,128K,Apache-2.0,true,2024-10-16,https://mistral.ai/news/ministraux,"Edge model with sliding-window attention. Note: registry suffix '2512' likely stale; canonical is 2410."
ministral-3b,Mistral,ministral,Ministral-3-3B-Instruct-2512,3B,3B,dense,128K,Apache-2.0,true,2025-12-02,https://huggingface.co/mistralai/Ministral-3-3B-Instruct-2512,Multimodal tiny LM (3.4B LLM + 0.4B vision encoder).
llama-3-3-70b,Meta,llama,Llama-3.3-70B-Instruct,70B,70B,dense,128K,Llama-3.3-Community,true,2024-12-06,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,Improved instruction following over 3.1 70B.
llama-3-1-70b,Meta,llama,Llama-3.1-70B-Instruct,70B,70B,dense,128K,Llama-3.1-Community,true,2024-07-23,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,Released alongside 3.1 8B and 405B.
llama-3-1-8b,Meta,llama,Llama-3.1-8B-Instruct,8B,8B,dense,128K,Llama-3.1-Community,true,2024-07-23,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,Released alongside 3.1 70B and 405B.
llama-3-2-3b,Meta,llama,Llama-3.2-3B-Instruct,3B,3B,dense,128K,Llama-3.2-Community,true,2024-09-25,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,Edge-targeted lightweight text-only model.
llama-4-scout,Meta,llama,Llama-4-Scout-17B-16E-Instruct,109B,17B,moe,10M,Llama-4-Community,true,2025-04-05,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,16 experts; native multimodal; industry-leading 10M context.
llama-4-maverick,Meta,llama,Llama-4-Maverick-17B-128E-Instruct,400B,17B,moe,1M,Llama-4-Community,true,2025-04-05,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,128 experts; native multimodal; trained on 40T tokens / 200 languages.
gemma-3-27b-it,Google,gemma,Gemma-3-27B-IT,27B,27B,dense,128K,Gemma-Terms,true,2025-03-12,https://huggingface.co/google/gemma-3-27b-it,Multimodal (text+vision); 140+ languages; trained on 14T tokens.
gemma-3-12b-it,Google,gemma,Gemma-3-12B-IT,12B,12B,dense,128K,Gemma-Terms,true,2025-03-12,https://huggingface.co/google/gemma-3-12b-it,Multimodal; 140+ languages; trained on 12T tokens.
gemma-3-4b-it,Google,gemma,Gemma-3-4B-IT,4B,4B,dense,128K,Gemma-Terms,true,2025-03-12,https://ai.google.dev/gemma/docs/releases,Multimodal (text+vision); trained on 4T tokens.
phi-4,Microsoft,phi,Phi-4,14B,14B,dense,16K,MIT,true,2024-12-12,https://huggingface.co/microsoft/phi-4,"Reasoning-focused SLM; HF release 2025-01-09. Note short 16K context."
olmo-3-1-32b,Allen AI,olmo,Olmo-3.1-32B-Instruct,32B,32B,dense,64K,Apache-2.0,true,2025-12-10,https://huggingface.co/allenai/Olmo-3.1-32B-Instruct,Fully open: weights + data + training code. 65K context.
granite-4-1-8b,IBM,granite,Granite-4.1-8B-Instruct,8B,8B,dense,128K,Apache-2.0,true,2026-04-30,https://huggingface.co/ibm-granite/granite-4.1-8b,Matches Granite-4.0-H-Small (32B MoE) on benchmarks; 131K context.
