id,entity_class,variant,prompt,input_text,expected_output,difficulty,domain,source,notes
AUG4-CREDIT-CARD-001-44,CREDIT_CARD,four_group,,please charge four five one two three four five six seven eight nine zero one two three four,Please charge 4512 3456 7890 1234.,basic,contact_center,synthetic_augmented_v4,straight 16-digit Visa
AUG4-CREDIT-CARD-002-44,CREDIT_CARD,redaction,Redact all but the last four digits as XXXX XXXX XXXX ####,my visa ending is five four one two seven seven eight eight nine nine zero zero six seven eight nine,my visa ending is XXXX XXXX XXXX 6789.,edge,contact_center,synthetic_augmented_v4,PCI redaction visa
AUG4-CREDIT-CARD-003-44,CREDIT_CARD,amex_15,,the amex number is three seven eight two eight two two four six three one zero zero zero five,The amex number is 3782 822463 10005.,edge,finance,synthetic_augmented_v4,15-digit amex
AUG4-CREDIT-CARD-004-44,CREDIT_CARD,oh_for_zero,,my card is four oh oh oh one two three four five six seven eight nine oh one two,My card is 4000 1234 5678 9012.,basic,voice_agent,synthetic_augmented_v4,oh substitution
AUG4-CREDIT-CARD-005-44,CREDIT_CARD,double_triple,,the number reads four three double seven nine eight triple six one two three four five six seven,The number reads 4377 9866 6123 4567.,edge,contact_center,synthetic_augmented_v4,double/triple chunked
AUG4-CREDIT-CARD-006-44,CREDIT_CARD,space_separator,,card is four three two one space nine eight seven six space one two three four space five six seven eight,Card is 4321 9876 1234 5678.,basic,voice_agent,synthetic_augmented_v4,caller said space between groups
AUG4-CREDIT-CARD-007-44,CREDIT_CARD,embedded_money,,charge my card four three two one nine eight seven six one two three four five six seven eight for two hundred dollars,Charge my card 4321 9876 1234 5678 for $200.,edge,contact_center,synthetic_augmented_v4,card plus money entity
AUG4-CREDIT-CARD-008-44,CREDIT_CARD,redaction,Redact all but the last four digits as XXXX XXXX XXXX ####,the mastercard on file is five three double four eight eight zero zero one one two two nine nine seven five,the mastercard on file is XXXX XXXX XXXX 9975.,edge,finance,synthetic_augmented_v4,double phrasing within redaction
AUG4-CREDIT-CARD-009-44,CREDIT_CARD,amex_15,Redact all but the last four digits as XXXX XXXXXX ####,my amex is three four five six seven eight nine zero one two three four five six seven,my amex is XXXX XXXXXX 4567.,adversarial,contact_center,synthetic_augmented_v4,amex redaction custom mask
AUG4-CREDIT-CARD-010-44,CREDIT_CARD,oh_for_zero,,please use four nine two nine oh oh four two oh oh oh three three three one,Please use 4929 0042 0003 331.,adversarial,voice_agent,synthetic_augmented_v4,15 digits trailing — preserve as spoken
AUG4-CREDIT-CARD-011-44,CREDIT_CARD,four_group,,the new card is six zero one one two two three three four four five five six six seven seven,The new card is 6011 2233 4455 6677.,basic,finance,synthetic_augmented_v4,discover-style
AUG4-CREDIT-CARD-012-44,CREDIT_CARD,redaction,Redact all but the last four digits as XXXX XXXX XXXX ####,okay so the card is four one one one two two two two three three three three eight eight eight eight,Okay so the card is XXXX XXXX XXXX 8888.,basic,contact_center,synthetic_augmented_v4,easy redaction
AUG4-CREDIT-CARD-013-44,CREDIT_CARD,double_triple,,the card ends in triple nine eight and starts with four two one zero so it is four two one zero five six seven eight one two three four triple nine eight,The card ends in 9998 and starts with 4210 so it is 4210 5678 1234 9998.,adversarial,voice_agent,synthetic_augmented_v4,mixed natural language plus full number
AUG4-CREDIT-CARD-014-44,CREDIT_CARD,amex_15,,on the amex card three seven one four four nine six three five three nine eight four three one charge it,On the amex card 3714 496353 98431 charge it.,edge,contact_center,synthetic_augmented_v4,amex embedded mid-sentence
AUG4-CREDIT-CARD-015-44,CREDIT_CARD,space_separator,,i will read it slowly four one two three space five six seven eight space nine zero one two space three four five six,I will read it slowly 4123 5678 9012 3456.,basic,voice_agent,synthetic_augmented_v4,explicit space markers
AUG4-CREDIT-CARD-016-44,CREDIT_CARD,redaction,Redact all but the last four digits as XXXX XXXX XXXX ####,the card is four seven six two oh oh oh oh oh oh oh oh one two three four,the card is XXXX XXXX XXXX 1234.,edge,contact_center,synthetic_augmented_v4,oh and redact combined
AUG4-CREDIT-CARD-017-44,CREDIT_CARD,oh_for_zero,,please write down five one oh oh six seven eight nine oh oh four three two one one two,Please write down 5100 6789 0043 2112.,edge,finance,synthetic_augmented_v4,oh sprinkled throughout
AUG4-CREDIT-CARD-018-44,CREDIT_CARD,double_triple,Redact all but the last four digits as XXXX XXXX XXXX ####,card four double two one triple five eight nine nine zero one two three four five six,card XXXX XXXX XXXX 3456.,adversarial,contact_center,synthetic_augmented_v4,double triple plus redact
AUG4-CREDIT-CARD-019-44,CREDIT_CARD,embedded_money,,bill my amex three seven eight two eight two two four six three one zero zero zero five for forty nine ninety nine,Bill my amex 3782 822463 10005 for $49.99.,adversarial,finance,synthetic_augmented_v4,amex plus dollar amount
AUG4-CREDIT-CARD-020-44,CREDIT_CARD,four_group,,use card five four three two one zero nine eight seven six five four three two one zero,Use card 5432 1098 7654 3210.,basic,voice_agent,synthetic_augmented_v4,descending digits
AUG4-CREDIT-CARD-021-44,CREDIT_CARD,redaction,Redact all but the last four digits as XXXX XXXX XXXX ####,go ahead and use four five three two one one two two three three four four nine nine eight eight,Go ahead and use XXXX XXXX XXXX 9988.,basic,contact_center,synthetic_augmented_v4,clean redaction
AUG4-CREDIT-CARD-022-44,CREDIT_CARD,space_separator,,so it is three seven double six space four one two two space nine eight seven six space five four three two,So it is 3766 4122 9876 5432.,edge,voice_agent,synthetic_augmented_v4,space plus double phrasing
AUG4-CREDIT-CARD-023-44,CREDIT_CARD,oh_for_zero,Redact all but the last four digits as XXXX XXXX XXXX ####,the card number is four oh oh oh oh oh oh oh oh oh oh oh nine nine nine nine,the card number is XXXX XXXX XXXX 9999.,edge,contact_center,synthetic_augmented_v4,all oh except tail with redact
AUG4-CREDIT-CARD-024-44,CREDIT_CARD,amex_15,,my corporate amex is three four eight two seven seven one one four eight three nine five six two,My corporate amex is 3482 771148 39562.,edge,finance,synthetic_augmented_v4,15 digit corp amex
AUG4-CREDIT-CARD-025-44,CREDIT_CARD,double_triple,,read back four three two one nine eight triple seven double six one two three four,Read back 4321 9877 7661 234.,adversarial,voice_agent,synthetic_augmented_v4,15 digits via double/triple chunks
AUG4-NUMERIC-ID-001-44,NUMERIC_ID,order_number,,your order number is four eight one six two three nine five seven,your order number is 481623957,basic,voice_agent,synthetic_augmented_v4,nine digit order
AUG4-NUMERIC-ID-002-44,NUMERIC_ID,account_with_oh,,the account number is seven oh oh three two oh nine eight one,the account number is 700320981,edge,finance,synthetic_augmented_v4,oh used for zero multiple times
AUG4-NUMERIC-ID-003-44,NUMERIC_ID,confirmation_code_nato,,your confirmation code is foxtrot golf hotel three two nine,your confirmation code is FGH329,basic,voice_agent,synthetic_augmented_v4,NATO letters uppercased
AUG4-NUMERIC-ID-004-44,NUMERIC_ID,tracking_long,,the tracking number is one zed two three four five six seven eight nine zero one two three four five six seven eight,the tracking number is 1Z23456789012345678,adversarial,contact_center,synthetic_augmented_v4,UPS-style 1Z plus 18 chars
AUG4-NUMERIC-ID-005-44,NUMERIC_ID,case_id_dash,,please reference case number cee ar em dash one five seven seven,please reference case number CRM-1577,basic,contact_center,synthetic_augmented_v4,letters then dash digits
