run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,CANONICAL-AVOMA-YEAR,15261ddfbe12,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,4357.16,4234.61,197,209,0.00102315,stop,,2026-05-03T05:56:58.835635+00:00,2026-05-03T05:57:03.192818+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction given.,False,none,Year formatted numerically; content preserved.,True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,CANONICAL-CRESTA-PERCENT,15261ddfbe12,,satisfaction was one hundred percent,satisfaction was 100%, satisfaction was 100%,3513.01,3401.25,195,170,0.000751,stop,,2026-05-03T05:56:58.835356+00:00,2026-05-03T05:57:02.349178+00:00,True,,,pass,Matches reference; only a leading space difference.,n_a,No instruction provided.,False,none,"""one hundred percent"" formatted as ""100%""; content preserved.",True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,MONEY-002,15261ddfbe12,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,2925.59,2888.62,203,277,0.00130085,stop,,2026-05-03T05:57:11.896494+00:00,2026-05-03T05:57:14.822177+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""twenty bucks"" formatted as ""$20"" preserves meaning.",True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,CANONICAL-NIAGARA-ORDERID,15261ddfbe12,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384, your reference is 17-34272-2384,13059.88,12612.51,223,396,0.00206467,stop,,2026-05-03T05:56:58.835427+00:00,2026-05-03T05:57:11.895376+00:00,True,,,pass,Matches reference exactly (leading whitespace negligible).,followed,Formatted as xx-xxxxx-xxxx starting with 17.,False,none,Digits 17342722384 match the spoken sequence; only formatting hyphens added.,True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,MONEY-003,15261ddfbe12,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,2799.48,2712.39,204,122,0.0006716,stop,,2026-05-03T05:57:14.822667+00:00,2026-05-03T05:57:17.622317+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" correctly formatted as $9.99.",True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,MONEY-001,15261ddfbe12,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,19708.02,19572.42,204,209,0.00104,stop,,2026-05-03T05:57:03.193289+00:00,2026-05-03T05:57:22.901360+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""four fifty"" formatted as ""$4.50"" preserves meaning.",True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,CANONICAL-RINGCENTRAL-PHONE,15261ddfbe12,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234, you can reach us at 800-729-7234,23994.77,23726.76,203,469,0.0016983,stop,,2026-05-03T05:56:58.835586+00:00,2026-05-03T05:57:22.830421+00:00,True,,,pass,Matches reference exactly aside from a leading space.,n_a,No instruction provided.,False,none,Phone number correctly formatted from spoken digits.,True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,CANONICAL-TALKATOO-CENTURY,15261ddfbe12,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,23164.90,22934.87,213,768,0.00327435,stop,,2026-05-03T05:57:02.349687+00:00,2026-05-03T05:57:25.514648+00:00,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format applied correctly.,False,none,Date formatted from spoken form; content preserved.,True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,MONEY-005,15261ddfbe12,Format currency with the dollar sign.,about thirty five dollars total,about $35 total, about $35 total,3336.51,3283.20,204,190,0.00081406,stop,,2026-05-03T05:57:22.831854+00:00,2026-05-03T05:57:26.168552+00:00,True,,,pass,Matches reference aside from a leading space.,followed,Used dollar sign as instructed.,False,none,"""thirty five dollars"" correctly formatted as ""$35""; all content preserved.",True,,
kimi-k2-6-20260503T055658Z,kimi-k2-6,moonshotai,MONEY-006,15261ddfbe12,,we owe two hundred dollars,we owe $200,we owe $200,4735.30,4734.65,193,163,0.00083535,stop,,2026-05-03T05:57:22.902370+00:00,2026-05-03T05:57:27.637752+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""two hundred dollars"" correctly formatted as ""$200"".",True,,
