model_id,total_rows,acc_exact_match,acc_exact_match_lo,acc_exact_match_hi,acc_judge_pass,acc_judge_pass_lo,acc_judge_pass_hi,acc_consensus,acc_consensus_lo,acc_consensus_hi,uncertain_bucket_pct,uncertain_bucket_pct_lo,uncertain_bucket_pct_hi,catastrophic_count,canonical_pass_count,canonical_total,hallucination_rate_any,hallucination_rate_any_lo,hallucination_rate_any_hi,hallucination_rate_fabricated,hallucination_rate_fabricated_lo,hallucination_rate_fabricated_hi,refusal_count,latency_p50_ms,latency_p95_ms,latency_ttft_p50_ms,cost_total_usd,cost_per_correct_usd,vendor,family,model_full_name,params_total,params_active,architecture,context_window,license,open_weight,release_date,vendor_md,family_md,model_full_name_md,params_total_md,params_active_md,architecture_md,context_window_md,license_md,open_weight_md,release_date_md,source_url,notes,open_weight_b,params_total_b,params_active_b,bucket
gpt-5-5,501,75.25,71.29,78.83,92.81,90.21,94.76,75.25,71.29,78.83,17.96,14.85,21.57,7,6,9,12.38,9.77,15.55,6.59,4.73,9.11,0,1397.8,3563.7,1333.5,0.516482,0.001111,OpenAI,gpt,GPT-5.5,undisclosed,undisclosed,unknown,1M,Proprietary,False,2026-04-23,OpenAI,gpt,GPT-5.5,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-23,https://openai.com/index/introducing-gpt-5-5/,Frontier OpenAI model; API GA 2026-04-24.,False,,,closed-frontier
gemini-3-flash-preview,501,75.65,71.7,79.2,90.82,87.97,93.05,75.65,71.7,79.2,15.57,12.66,19.0,11,8,9,12.18,9.6,15.33,6.19,4.39,8.65,0,1749.0,5503.7,1737.8,,,Google,gemini,,undisclosed,undisclosed,unknown,,Proprietary,false,2026-04-01,Google,gemini,,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-01,,,False,,,closed-frontier
grok-4,501,73.05,69.0,76.75,90.22,87.3,92.52,73.05,69.0,76.75,17.56,14.48,21.14,14,7,9,11.98,9.42,15.11,7.19,5.24,9.79,3,15960.5,43083.4,14002.0,4.949432,0.01095,xAI,grok,Grok 4,undisclosed,undisclosed,unknown,256K,Proprietary,False,2025-07-09,xAI,grok,Grok 4,undisclosed,undisclosed,unknown,256K,Proprietary,false,2025-07-09,https://x.ai/news/grok-4,Frontier xAI reasoning model; native tool use; trained on Colossus.,False,,,closed-frontier
gemini-3-1-pro-preview,501,69.46,65.29,73.33,89.02,85.98,91.47,69.46,65.29,73.33,19.76,16.51,23.47,11,7,9,10.98,8.53,14.02,5.99,4.23,8.42,0,3803.5,9044.0,3760.0,,,Google,gemini,,undisclosed,undisclosed,unknown,,Proprietary,false,2026-04-01,Google,gemini,,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-01,,,False,,,closed-frontier
claude-opus-4-7,501,59.88,55.53,64.08,88.62,85.54,91.11,59.68,55.33,63.89,29.54,25.71,33.68,15,6,9,13.57,10.85,16.85,7.39,5.41,10.01,0,,1577.4,,,,Anthropic,claude,Claude Opus 4.7,undisclosed,undisclosed,unknown,1M,Proprietary,False,2026-04-16,Anthropic,claude,Claude Opus 4.7,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-16,https://www.anthropic.com/news/claude-opus-4-7,Frontier Anthropic model. 1M context on API; 200K default in Claude apps.,False,,,closed-frontier
claude-sonnet-4-6,501,60.68,56.34,64.86,85.23,81.85,88.07,60.48,56.13,64.66,25.55,21.93,29.54,15,7,9,14.77,11.93,18.15,7.58,5.58,10.24,0,1114.4,1822.5,787.9,,,Anthropic,claude,Claude Sonnet 4.6,undisclosed,undisclosed,unknown,1M,Proprietary,False,2026-02-17,Anthropic,claude,Claude Sonnet 4.6,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6,1M context GA. Mid-tier Anthropic model.,False,,,closed-frontier
qwen3-32b-groq,501,67.86,63.65,71.8,83.43,79.93,86.43,67.86,63.65,71.8,15.97,13.02,19.43,38,7,9,18.56,15.4,22.2,7.98,5.92,10.69,0,1409.6,3318.6,763.1,0.142326,0.00034,Alibaba/Qwen,qwen,Qwen3-32B,32B,32B,dense,128K,Apache-2.0,True,2025-04-29,Alibaba/Qwen,qwen,Qwen3-32B,32B,32B,dense,128K,Apache-2.0,true,2025-04-29,https://huggingface.co/Qwen/Qwen3-32B,Dense Qwen3 32B; pinned to Groq.,True,32.0,32.0,open-mid-20-50B
nemotron-3-super-120b,501,68.66,64.47,72.57,81.84,78.22,84.97,68.46,64.27,72.38,13.97,11.21,17.28,44,7,9,18.96,15.77,22.63,11.38,8.89,14.46,0,6418.1,22820.0,9757.7,0.041815,0.000102,Nvidia,nemotron,NVIDIA-Nemotron-3-Super-120B-A12B,120B,12B,moe,1M,Nvidia-Open-Model,True,2026-03-11,Nvidia,nemotron,NVIDIA-Nemotron-3-Super-120B-A12B,120B,12B,moe,1M,Nvidia-Open-Model,true,2026-03-11,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,Open hybrid Mamba-Transformer MoE; 1M context for agents.,True,120.0,12.0,open-large-50-200B
gpt-oss-120b-groq,501,69.26,65.09,73.14,81.04,77.37,84.23,69.06,64.88,72.95,12.77,10.13,15.98,39,7,9,15.17,12.29,18.58,8.98,6.78,11.81,0,607.8,1761.2,724.2,0.072081,0.000178,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,True,2025-08-05,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,true,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Same model as gpt-oss-120b; pinned to Groq.,True,117.0,5.1,open-large-50-200B
gpt-5-4-mini,501,62.67,58.36,66.8,79.64,75.9,82.93,62.67,58.36,66.8,17.56,14.48,21.14,22,4,9,14.77,11.93,18.15,6.99,5.07,9.56,0,417.1,640.0,359.8,0.018604,4.7e-05,OpenAI,gpt,GPT-5.4-mini,undisclosed,undisclosed,unknown,1M,Proprietary,False,2026-03-17,OpenAI,gpt,GPT-5.4-mini,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-03-17,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,Released alongside GPT-5.4-nano.,False,,,closed-frontier
