run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,chain_input_text,baseline_model_id,baseline_error,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-AVOMA-YEAR,7d8c326253d4,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,641.42,621.23,2098,123,0.0003885,stop,,2026-05-06T07:00:39.285898+00:00,2026-05-06T07:00:39.927385+00:00,we expect to launch in 2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Year formatted as digits; content preserved.,True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-CRESTA-PERCENT,7d8c326253d4,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,532.48,503.04,2095,62,0.00035145,stop,,2026-05-06T07:00:39.285573+00:00,2026-05-06T07:00:39.819330+00:00,satisfaction was 100%,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""One hundred percent"" formatted as ""100%"" preserves meaning exactly.",True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-AVOMA-RANGE,7d8c326253d4,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",887.25,850.63,2100,162,0.0004122,stop,,2026-05-06T07:00:39.285966+00:00,2026-05-06T07:00:40.173254+00:00,"the budget range is $8,090,000",impeller-stem-baseline,,False,,,numeric_drift,"Candidate concatenated into $8,090,000 instead of a range 80,000–90,000.",n_a,No instruction given.,True,fabricated,"""Eighty ninety thousand"" was misinterpreted as $8,090,000, fabricating a different numeric value rather than a range like $80-90k.",True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-CRESTA-ACCOUNT-ID,7d8c326253d4,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,823.85,803.15,2098,156,0.0004083,stop,,2026-05-06T07:00:39.285480+00:00,2026-05-06T07:00:40.109361+00:00,your account number is 10203004,impeller-stem-baseline,,False,,,numeric_drift,"Candidate dropped a digit: ""one hundred two"" should be 102, producing 102030004 or 100203004; candidate output 10203004 has only 8 digits vs reference 9.",n_a,No instruction provided.,True,none,"The spoken digits ""one hundred two oh three oh oh four"" correctly format to 10203004.",True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-TALKATOO-CENTURY,7d8c326253d4,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,535.34,507.14,2117,114,0.00038595,stop,,2026-05-06T07:00:39.820070+00:00,2026-05-06T07:00:40.355476+00:00,exam date 02/06/2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format honored.,False,none,"Date ""two six twenty six"" formatted as 02/06/2026, content preserved.",True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-NIAGARA-PHONE,7d8c326253d4,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 1-734-272-2384,926.70,884.93,2109,223,0.00045015,stop,,2026-05-06T07:00:39.285750+00:00,2026-05-06T07:00:40.212481+00:00,your reference is 17342722384,impeller-stem-baseline,,False,,,pass,"Digits match; ""1-734-272-2384"" is a valid US phone format equivalent to ""+1-734-272-2384"".",followed,Formatted as a US phone number.,False,dropped_content,"Input has 11 digits (17342722384) but output only contains 10 digits, dropping one digit.",False,judge_pass_em_fail,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-NIAGARA-ORDERID,7d8c326253d4,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-34272-2384,1007.71,975.64,2120,275,0.000483,stop,,2026-05-06T07:00:39.285648+00:00,2026-05-06T07:00:40.293399+00:00,your reference is 17342722384,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used the xx-xxxxx-xxxx format starting with 17.,False,none,Digits 17342722384 match input; hyphens are formatting only.,True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,MONEY-002,7d8c326253d4,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,568.30,546.17,2105,62,0.00035295,stop,,2026-05-06T07:00:40.109922+00:00,2026-05-06T07:00:40.678298+00:00,she paid $20,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""twenty bucks"" formatted as ""$20"" preserves meaning.",True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,MONEY-007,7d8c326253d4,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,389.89,370.41,2106,67,0.0002025,stop,,2026-05-06T07:00:40.362837+00:00,2026-05-06T07:00:40.752820+00:00,the fee is $15,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""fifteen dollars"" correctly formatted as ""$15"" with no content changes.",True,,
chained-full-impeller-stem-gpt-oss-120b-groq-iter09,gpt-oss-120b-groq,impeller-stem+groq,CANONICAL-RINGCENTRAL-PHONE,7d8c326253d4,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807297234,1308.93,1272.73,2099,314,0.00050325,stop,,2026-05-06T07:00:39.285827+00:00,2026-05-06T07:00:40.594781+00:00,you can reach us at 807297234,impeller-stem-baseline,,False,,,numeric_drift,Candidate produced 9 digits (807297234) instead of 10 (8007297234) — dropped a zero.,n_a,No instruction provided.,True,dropped_content,"The input has 11 digits (800-729-7234) but the output only contains 9 digits, dropping two digits.",True,,
