run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-RANGE,973439ec38fcb44e,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",105.50,,,,0,stop,,2026-05-06T05:27:57.139745+00:00,2026-05-06T05:27:57.245242+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-ACCOUNT-ID,973439ec38fcb44e,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,106.64,,,,0,stop,,2026-05-06T05:27:57.139465+00:00,2026-05-06T05:27:57.246114+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-PERCENT,973439ec38fcb44e,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,108.94,,,,0,stop,,2026-05-06T05:27:57.139551+00:00,2026-05-06T05:27:57.248493+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-CURRENCY,973439ec38fcb44e,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $1.71 41,112.32,,,,0,stop,,2026-05-06T05:27:57.137679+00:00,2026-05-06T05:27:57.250008+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-PHONE,973439ec38fcb44e,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 17342722384,112.51,,,,0,stop,,2026-05-06T05:27:57.139642+00:00,2026-05-06T05:27:57.252155+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-ORDERID,973439ec38fcb44e,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17342722384,113.11,,,,0,stop,,2026-05-06T05:27:57.139601+00:00,2026-05-06T05:27:57.252715+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-YEAR,973439ec38fcb44e,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,115.21,,,,0,stop,,2026-05-06T05:27:57.139714+00:00,2026-05-06T05:27:57.254924+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-RINGCENTRAL-PHONE,973439ec38fcb44e,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807297234,116.67,,,,0,stop,,2026-05-06T05:27:57.139679+00:00,2026-05-06T05:27:57.256352+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,MONEY-001,973439ec38fcb44e,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,40.54,,,,0,stop,,2026-05-06T05:27:57.246265+00:00,2026-05-06T05:27:57.286795+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,CANONICAL-TALKATOO-CENTURY,973439ec38fcb44e,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,52.83,,,,0,stop,,2026-05-06T05:27:57.245436+00:00,2026-05-06T05:27:57.298260+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,MONEY-007,973439ec38fcb44e,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,106.04,,,,0,stop,,2026-05-06T05:27:57.256723+00:00,2026-05-06T05:27:57.362759+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,MONEY-003,973439ec38fcb44e,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,120.96,,,,0,stop,,2026-05-06T05:27:57.251334+00:00,2026-05-06T05:27:57.372295+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,MONEY-006,973439ec38fcb44e,,we owe two hundred dollars,we owe $200,we owe $200,157.90,,,,0,stop,,2026-05-06T05:27:57.255783+00:00,2026-05-06T05:27:57.413674+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,MONEY-002,973439ec38fcb44e,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,175.21,,,,0,stop,,2026-05-06T05:27:57.248771+00:00,2026-05-06T05:27:57.423984+00:00
impeller-stem-full,impeller-stem-baseline,deepgram,MONEY-005,973439ec38fcb44e,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,about $35 total,175.04,,,,0,stop,,2026-05-06T05:27:57.253586+00:00,2026-05-06T05:27:57.428633+00:00
