id,entity_class,expected_output,transcript,stt_latency_ms,stt_error,exact_match,opus_label,opus_notes,opus_pass,gpt_label,gpt_notes,gpt_pass,both_pass,disagree
ADDR-001,ADDRESS,"send it to 123 Main Street, Springfield, IL 62701","Send it to 123 Main Street, Springfield, Illinois, 62701.",1230,,False,style_violation,State is spelled out as 'Illinois' instead of the abbreviation 'IL'.,False,other,parse_error: JSONDecodeError: ,False,False,False
ADDR-008,ADDRESS,"hq is at 155 State Street, Chicago, IL 60604","XQ is at 155 State Street Chicago, Illinois 60604.",1275,,False,style_violation,State abbreviation expanded to 'Illinois' and missing comma after street; entity values correct.,False,style_violation,The address value is correct but missing expected comma separation and uses the full state name instead of IL.,False,False,False
ADDR-006,ADDRESS,"the clinic is 678 Cherry Lane, Denver, CO 80202","The clinic is 678 Cherry Lane, Denver, CO, 80202.",1276,,False,pass,Address entity correctly formatted with minor punctuation difference.,True,style_violation,"The address content is correct, but the comma between state and ZIP is unusual.",False,False,True
ADDR-003,ADDRESS,"ship to 789 Elm Road, Austin, TX 78701","Ship to 789 Elm Road, Austin, Texas, 78701.",1305,,False,style_violation,State written as 'Texas' instead of 'TX' abbreviation.,False,style_violation,"Address content is correct, but the state is spelled out and the ZIP is separated by an extra comma.",False,False,False
ADDR-004,ADDRESS,"their address is 222 Pine Street, Seattle, WA 98101","Their address is 222 Pine Street, Seattle, Washington 98101.",1405,,False,style_violation,State written as 'Washington' instead of abbreviation 'WA'.,False,other,parse_error: JSONDecodeError: ,False,False,False
ADDR-002,ADDRESS,"the office is at 456 Oak Avenue, Boston, MA 02115","The office is at 456 Spoke Avenue, Boston, Massachusetts 02115.",1516,,False,style_violation,"State formatted as 'Massachusetts' instead of 'MA', though zip and address number are correct.",False,wrong_value,Street name differs from the reference address.,False,False,False
ADDR-P-008,ADDRESS,P.O. Box 456,P.O. Box four five six.,462,,False,style_violation,Box number spelled out as words instead of digits '456'.,False,style_violation,The P.O. Box number is correct but spelled out instead of formatted as digits.,False,False,False
ADDR-P-005,ADDRESS,Suite 305,Suite 305.,540,,True,pass,Entity 'Suite 305' is correctly formatted; trailing period is punctuation only.,True,pass,The suite number is correctly formatted; the trailing period is acceptable.,True,True,False
ADDR-010,ADDRESS,"mail to 333 Broadway, New York, NY 10013","Mail to 333 Broadway New York, New York 10013.",686,,False,style_violation,Address is correct but missing comma after Broadway and uses 'New York' instead of state abbreviation 'NY'.,False,style_violation,The address content is correct but missing expected commas and uses full state name instead of NY.,False,False,False
ADDR-E004,ADDRESS,exit 87 off I-95,Exit 87 off I-95?,661,,True,pass,Entity formatting matches; only punctuation/capitalization differs.,True,pass,The exit number and interstate are correctly formatted.,True,True,False
