run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-CRESTA-ACCOUNT-ID,15261ddfbe12,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,604.18,541.13,194,9,2.968e-05,stop,,2026-05-03T17:29:17.225771+00:00,2026-05-03T17:29:17.832769+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-CRESTA-PERCENT,15261ddfbe12,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,871.20,793.52,189,7,2.842e-05,stop,,2026-05-03T17:29:17.225882+00:00,2026-05-03T17:29:18.097114+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-RINGCENTRAL-PHONE,15261ddfbe12,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 800-729-7234,881.37,771.65,196,12,3.08e-05,stop,,2026-05-03T17:29:17.226062+00:00,2026-05-03T17:29:18.107454+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-CRESTA-CURRENCY,15261ddfbe12,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $171.41,908.64,805.38,191,8,2.898e-05,stop,,2026-05-03T17:29:17.223875+00:00,2026-05-03T17:29:18.132541+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-NIAGARA-ORDERID,15261ddfbe12,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-34272-2384,907.71,807.77,219,11,3.374e-05,stop,,2026-05-03T17:29:17.225955+00:00,2026-05-03T17:29:18.133675+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-003,15261ddfbe12,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,580.93,532.02,198,7,2.968e-05,stop,,2026-05-03T17:29:18.132796+00:00,2026-05-03T17:29:18.713762+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-001,15261ddfbe12,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,950.79,782.54,198,7,1.5344e-05,stop,,2026-05-03T17:29:18.098005+00:00,2026-05-03T17:29:19.048846+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-002,15261ddfbe12,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,1077.08,729.10,197,4,2.87e-05,stop,,2026-05-03T17:29:18.107891+00:00,2026-05-03T17:29:19.185015+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-005,15261ddfbe12,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,about $35 total,667.81,621.73,198,4,2.884e-05,stop,,2026-05-03T17:29:18.714490+00:00,2026-05-03T17:29:19.382344+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-004,15261ddfbe12,,the bill came to forty seven dollars,the bill came to $47,The bill came to $47.,1254.97,713.65,189,7,2.842e-05,stop,,2026-05-03T17:29:18.133885+00:00,2026-05-03T17:29:19.388890+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-NIAGARA-PHONE,15261ddfbe12,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,Your reference is 173-427-22384,2189.38,1478.52,207,10,3.178e-05,stop,,2026-05-03T17:29:17.226011+00:00,2026-05-03T17:29:19.415418+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-006,15261ddfbe12,,we owe two hundred dollars,we owe $200,we owe $200,635.06,595.66,187,5,2.758e-05,stop,,2026-05-03T17:29:19.049678+00:00,2026-05-03T17:29:19.684782+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-007,15261ddfbe12,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,701.26,658.19,198,6,2.94e-05,stop,,2026-05-03T17:29:19.185694+00:00,2026-05-03T17:29:19.886999+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-009,15261ddfbe12,,seven hundred fifty dollars please,$750 please,$750 please,641.15,608.10,187,4,2.73e-05,stop,,2026-05-03T17:29:19.389191+00:00,2026-05-03T17:29:20.030387+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-AVOMA-RANGE,15261ddfbe12,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $80,000–$90,000",2823.26,2681.86,189,14,3.038e-05,stop,,2026-05-03T17:29:17.226158+00:00,2026-05-03T17:29:20.049442+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-010,15261ddfbe12,Use thousands separators in currency.,the deposit is one thousand dollars,"the deposit is $1,000","the deposit is $1,000",938.86,798.73,199,8,3.01e-05,stop,,2026-05-03T17:29:19.415871+00:00,2026-05-03T17:29:20.354791+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-012,15261ddfbe12,,they quoted eighty nine dollars,they quoted $89,they quoted $89,567.63,527.56,187,5,2.758e-05,stop,,2026-05-03T17:29:19.887531+00:00,2026-05-03T17:29:20.455204+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,CANONICAL-TALKATOO-CENTURY,15261ddfbe12,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,2754.78,898.55,208,10,3.192e-05,stop,,2026-05-03T17:29:17.833274+00:00,2026-05-03T17:29:20.588080+00:00
deepseek-v4-flash-nothink-20260503T172916Z,deepseek-v4-flash,deepseek,MONEY-013,15261ddfbe12,,um the total is one twenty nine ninety nine,um the total is $129.99,um the total is $129.99,696.26,637.63,191,9,2.926e-05,stop,,2026-05-03T17:29:20.031234+00:00,2026-05-03T17:29:20.727537+00:00
