run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,CANONICAL-AVOMA-YEAR,15261ddfbe12,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,1526.74,1453.78,190,63,4.424e-05,stop,,2026-05-03T07:41:54.548240+00:00,2026-05-03T07:41:56.074999+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"Year formatted as digits, content preserved.",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,CANONICAL-CRESTA-CURRENCY,15261ddfbe12,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $171.41,802.93,705.30,191,9,2.926e-05,stop,,2026-05-03T07:41:54.546097+00:00,2026-05-03T07:41:55.349526+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""one seventy one forty one"" reasonably formatted as $171.41; currency symbol is a formatting inference consistent with ""total amount.""",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,CANONICAL-CRESTA-ACCOUNT-ID,15261ddfbe12,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,1413.27,1367.14,194,9,2.968e-05,stop,,2026-05-03T07:41:54.547916+00:00,2026-05-03T07:41:55.961210+00:00,False,,,numeric_drift,"Candidate produced 10203004 (8 digits) instead of reference 100203004 (9 digits) — dropped a zero from ""one hundred two"".",n_a,No instruction provided.,True,none,"The spoken digits ""one hundred two oh three oh oh four"" correctly format to 10203004.",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,CANONICAL-NIAGARA-PHONE,15261ddfbe12,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 173-427-22384,837.57,753.10,207,11,3.206e-05,stop,,2026-05-03T07:41:54.548142+00:00,2026-05-03T07:41:55.385744+00:00,False,,,style_violation,Digits preserved but grouped incorrectly for a US phone number (should be 1-734-272-2384).,ignored,Did not format as a standard US phone number.,False,none,Digits match the spoken sequence; only formatting (hyphens) added.,True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,MONEY-001,15261ddfbe12,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,959.83,898.40,198,43,3.976e-05,stop,,2026-05-03T07:41:55.386209+00:00,2026-05-03T07:41:56.346114+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""four fifty"" formatted as $4.50, content preserved.",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,CANONICAL-TALKATOO-CENTURY,15261ddfbe12,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,1110.64,1067.96,208,10,3.192e-05,stop,,2026-05-03T07:41:55.349909+00:00,2026-05-03T07:41:56.460625+00:00,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format honored.,False,none,"The date ""two six twenty six"" is correctly formatted as 02/06/2026.",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,CANONICAL-RINGCENTRAL-PHONE,15261ddfbe12,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 800-729-7234,2786.18,2543.15,196,13,4.31e-05,stop,,2026-05-03T07:41:54.548192+00:00,2026-05-03T07:41:57.334388+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Phone number correctly formatted from spoken digits; no content changed.,True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,MONEY-004,15261ddfbe12,,the bill came to forty seven dollars,the bill came to $47,The bill came to $47.,1006.74,838.97,189,8,2.87e-05,stop,,2026-05-03T07:41:56.346831+00:00,2026-05-03T07:41:57.353609+00:00,False,,,pass,Correct money formatting; capitalization and period are stylistically equivalent.,n_a,No instruction provided.,False,none,"""forty seven dollars"" correctly formatted as ""$47"" with capitalization and punctuation.",False,judge_pass_em_fail,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,MONEY-002,15261ddfbe12,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,1566.09,1053.88,197,75,4.858e-05,stop,,2026-05-03T07:41:55.961838+00:00,2026-05-03T07:41:57.527957+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign format as instructed.,False,none,"""twenty bucks"" correctly formatted as ""$20"".",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,MONEY-005,15261ddfbe12,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,about $35 total,1259.46,1229.78,198,42,3.948e-05,stop,,2026-05-03T07:41:56.464159+00:00,2026-05-03T07:41:57.723722+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""thirty five dollars"" correctly formatted as ""$35""; all content preserved.",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,MONEY-003,15261ddfbe12,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,1983.40,1965.00,198,119,6.104e-05,stop,,2026-05-03T07:41:56.075415+00:00,2026-05-03T07:41:58.058883+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" correctly formatted as $9.99.",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,MONEY-007,15261ddfbe12,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,922.97,857.12,198,46,4.06e-05,stop,,2026-05-03T07:41:57.353908+00:00,2026-05-03T07:41:58.276909+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""fifteen dollars"" correctly formatted as ""$15"".",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,MONEY-006,15261ddfbe12,,we owe two hundred dollars,we owe $200,we owe $200,959.62,611.01,187,5,2.758e-05,stop,,2026-05-03T07:41:57.334879+00:00,2026-05-03T07:41:58.294530+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""two hundred dollars"" correctly formatted as ""$200"".",True,,
deepseek-v4-flash-20260503T074154Z,deepseek-v4-flash,deepseek,CANONICAL-CRESTA-PERCENT,15261ddfbe12,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,4327.72,4200.42,189,62,4.382e-05,stop,,2026-05-03T07:41:54.548021+00:00,2026-05-03T07:41:58.875747+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""one hundred percent"" formatted as ""100%"" preserves meaning.",True,,
