run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,chain_input_text,baseline_model_id,baseline_error
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-NIAGARA-PHONE,7d8c326253d4,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is +1-734-272-2384,422.11,313.35,2149,13,0.00010875,stop,,2026-05-06T08:27:27.744826+00:00,2026-05-06T08:27:28.167786+00:00,your reference is 17342722384,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-NIAGARA-ORDERID,7d8c326253d4,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-3427-2384,428.58,331.95,2162,12,0.0001093,stop,,2026-05-06T08:27:27.744721+00:00,2026-05-06T08:27:28.173358+00:00,your reference is 17342722384,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-RINGCENTRAL-PHONE,7d8c326253d4,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807-297-234,469.23,373.00,2136,12,0.000108,stop,,2026-05-06T08:27:27.744908+00:00,2026-05-06T08:27:28.214159+00:00,you can reach us at 807297234,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-CRESTA-PERCENT,7d8c326253d4,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,476.33,417.47,2133,7,0.00010735,stop,,2026-05-06T08:27:27.744644+00:00,2026-05-06T08:27:28.221026+00:00,satisfaction was 100%,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-CRESTA-ACCOUNT-ID,7d8c326253d4,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,486.67,380.21,2136,9,0.0001077,stop,,2026-05-06T08:27:27.744552+00:00,2026-05-06T08:27:28.231249+00:00,your account number is 10203004,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-CRESTA-CURRENCY,7d8c326253d4,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $1.71 41,515.10,376.90,2137,11,0.00010795,stop,,2026-05-06T08:27:27.744352+00:00,2026-05-06T08:27:28.259489+00:00,the total amount is $1.71 41,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-AVOMA-RANGE,7d8c326253d4,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000",the budget range is $8.09M,547.21,503.04,2137,10,0.00010785,stop,,2026-05-06T08:27:27.745052+00:00,2026-05-06T08:27:28.292282+00:00,"the budget range is $8,090,000",impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-002,7d8c326253d4,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,168.00,129.26,2144,5,0.0001077,stop,,2026-05-06T08:27:28.214353+00:00,2026-05-06T08:27:28.382384+00:00,she paid $20,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-001,7d8c326253d4,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,220.42,153.52,2147,8,0.00010815,stop,,2026-05-06T08:27:28.173857+00:00,2026-05-06T08:27:28.394321+00:00,the coffee was $4.50,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-005,7d8c326253d4,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,about $35 total,202.51,166.03,2144,5,0.0001077,stop,,2026-05-06T08:27:28.259754+00:00,2026-05-06T08:27:28.462294+00:00,about $35 total,impeller-stem-baseline,
