id,entity_class,expected_output,transcript,stt_latency_ms,stt_error,exact_match,opus_label,opus_notes,opus_pass,gpt_label,gpt_notes,gpt_pass,both_pass,disagree
ADDR-004,ADDRESS,"their address is 222 Pine Street, Seattle, WA 98101","Their address is 222 Pine Street, Seattle, Washington 98101.",652,,False,style_violation,State spelled out as 'Washington' instead of 'WA' abbreviation.,False,pass,The address content is correct and formatted acceptably with the full state name.,True,False,True
ADDR-006,ADDRESS,"the clinic is 678 Cherry Lane, Denver, CO 80202","The clinic is 678 Cherry Lane, Denver, Colorado, 80202.",668,,False,style_violation,State spelled out as 'Colorado' instead of abbreviation 'CO'.,False,pass,The address content is correct and formatted acceptably with the state spelled out.,True,False,True
ADDR-008,ADDRESS,"hq is at 155 State Street, Chicago, IL 60604","XQ is at 155 State Street, Chicago, Illinois 60604.",737,,False,style_violation,State name spelled out as 'Illinois' instead of abbreviation 'IL'.,False,pass,"The address is formatted correctly with the same street, city, state, and ZIP.",True,False,True
ADDR-003,ADDRESS,"ship to 789 Elm Road, Austin, TX 78701","Ship to 7 8 9 Elm Road, Austin, Texas 7 8 7 0 1.",793,,False,style_violation,Address digits and state are spelled out/expanded instead of formatted as '789' and 'TX 78701'.,False,style_violation,"The address content is correct, but the street number and ZIP code are spelled out as separated digits instead of grouped normally.",False,False,False
ADDR-001,ADDRESS,"send it to 123 Main Street, Springfield, IL 62701","Send it to 123 Main Street, Springfield, Illinois 62701.",827,,False,style_violation,State name spelled out as 'Illinois' instead of abbreviation 'IL'.,False,style_violation,"The address is correct, but the state is spelled out instead of using the expected IL abbreviation.",False,False,False
ADDR-002,ADDRESS,"the office is at 456 Oak Avenue, Boston, MA 02115","The office is at 456 Oak Avenue, Boston, Massachusetts, 02115.",910,,False,style_violation,State written as 'Massachusetts' instead of the abbreviation 'MA'.,False,style_violation,"The address content is correct, but the state/ZIP formatting differs with an expanded state and extra comma.",False,False,False
ADDR-E004,ADDRESS,exit 87 off I-95,Exit 87 of I95.,379,,False,style_violation,I-95 missing hyphen ('I95') though digits correct.,False,style_violation,"The exit number is correct, but I-95 is formatted as I95 without the hyphen.",False,False,False
ADDR-P-005,ADDRESS,Suite 305,Suite 305.,413,,True,pass,Entity 'Suite 305' is formatted correctly; trailing period is punctuation only.,True,pass,The suite number is correctly formatted with only an added period.,True,True,False
ADDR-010,ADDRESS,"mail to 333 Broadway, New York, NY 10013","Mail to 333 Broadway, New York, NY 10013.",533,,True,pass,Address entity formatted correctly; only punctuation/capitalization differs.,True,pass,"The address is correctly formatted with the same street, city, state, and ZIP.",True,True,False
ADDR-P-008,ADDRESS,P.O. Box 456,P.O. Box 456...,420,,True,pass,Entity formatted correctly; trailing ellipsis is non-entity punctuation.,True,pass,The P.O. Box entity is correctly formatted despite trailing ellipsis.,True,True,False
