run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,chain_input_text,baseline_model_id,baseline_error,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-CRESTA-PERCENT,7d8c326253d4,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,453.23,303.57,2205,9,0.00012855,stop,,2026-05-06T08:34:43.097686+00:00,2026-05-06T08:34:43.552172+00:00,satisfaction was 100%,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""one hundred percent"" formatted as ""100%"" preserves meaning exactly.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-AVOMA-YEAR,7d8c326253d4,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,547.40,426.30,2207,11,0.00052741,stop,,2026-05-06T08:34:43.098113+00:00,2026-05-06T08:34:43.645545+00:00,we expect to launch in 2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"Year formatted as digits, content preserved.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-AVOMA-RANGE,7d8c326253d4,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",653.75,405.85,2211,15,0.00034665,stop,,2026-05-06T08:34:43.098192+00:00,2026-05-06T08:34:43.751972+00:00,"the budget range is $8,090,000",impeller-stem-baseline,,False,,,numeric_drift,"Range ""80,000–90,000"" was misformatted as a single value $8,090,000, drastically changing the numeric meaning.",n_a,No instruction provided.,True,fabricated,"""Eighty ninety thousand"" likely means $80-90k range, not $8,090,000; the formatter fabricated an incorrect figure.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-RINGCENTRAL-PHONE,7d8c326253d4,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807-297-234,487.01,314.26,2212,18,0.0003498,stop,,2026-05-06T08:34:43.098031+00:00,2026-05-06T08:34:43.585106+00:00,you can reach us at 807297234,impeller-stem-baseline,,False,,,numeric_drift,"Candidate produced 807-297-234 (only 9 digits), dropping a digit and misgrouping vs. correct 800-729-7234.",n_a,No formatting instruction provided.,True,dropped_content,"The input has 11 digits (800-729-7234) but the output only contains 9 digits (807-297-234), dropping digits.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-CRESTA-CURRENCY,7d8c326253d4,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $1.7141,715.42,556.84,2209,12,0.00034335,stop,,2026-05-06T08:34:43.097391+00:00,2026-05-06T08:34:43.812872+00:00,the total amount is $1.71 41,impeller-stem-baseline,,False,,,numeric_drift,"Misinterpreted ""one seventy one forty one"" as $1.7141 instead of $171.41.",n_a,No instruction provided.,True,fabricated,"""One seventy one forty one"" was misformatted as $1.7141; more plausibly $171.41, so the numeric value is fabricated/incorrect.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,MONEY-001,7d8c326253d4,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,364.27,282.62,2217,9,0.00013035,stop,,2026-05-06T08:34:43.585586+00:00,2026-05-06T08:34:43.949913+00:00,the coffee was $4.50,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""Four fifty"" formatted as $4.50, preserving meaning.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-NIAGARA-ORDERID,7d8c326253d4,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-34272-2384,878.75,714.74,2237,17,0.00037701365,stop,,2026-05-06T08:34:43.097763+00:00,2026-05-06T08:34:43.976551+00:00,your reference is 17342722384,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used xx-xxxxx-xxxx format starting with 17.,False,none,Digits 17342722384 match the spoken sequence; only formatting hyphens added.,True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-NIAGARA-PHONE,7d8c326253d4,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is +1-734-272-2384,824.88,680.26,2224,19,0.0001414,stop,,2026-05-06T08:34:43.097904+00:00,2026-05-06T08:34:43.922857+00:00,your reference is 17342722384,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Formatted as US phone number.,False,fabricated,"The input is an 11-digit reference number (17342722384) but the output formats it as a phone number with ""+1"" country code and dashes, fabricating phone-number structure not implied by the input.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-TALKATOO-CENTURY,7d8c326253d4,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,426.87,283.30,2231,14,0.00013745,stop,,2026-05-06T08:34:43.552539+00:00,2026-05-06T08:34:43.979460+00:00,exam date 02/06/2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format honored.,False,none,Date formatted from spoken form to numeric; content preserved.,True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,MONEY-002,7d8c326253d4,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,451.26,407.09,2214,6,0.00052002,stop,,2026-05-06T08:34:43.646148+00:00,2026-05-06T08:34:44.097461+00:00,she paid $20,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""twenty bucks"" correctly formatted as ""$20"".",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,MONEY-008,7d8c326253d4,Format currency with the dollar sign.,charge them sixty two dollars,charge them $62,charge them $62,446.71,311.27,2214,6,0.0001269,stop,,2026-05-06T08:34:43.979832+00:00,2026-05-06T08:34:44.426586+00:00,charge them $62,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""sixty two dollars"" formatted as ""$62"" preserves meaning.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,MONEY-007,7d8c326253d4,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,520.17,384.81,2215,7,0.00033925,stop,,2026-05-06T08:34:43.977545+00:00,2026-05-06T08:34:44.497778+00:00,the fee is $15,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""fifteen dollars"" correctly formatted as ""$15"".",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,CANONICAL-CRESTA-ACCOUNT-ID,7d8c326253d4,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,893.04,831.90,2210,13,0.00036880025,stop,,2026-05-06T08:34:43.097590+00:00,2026-05-06T08:34:43.990665+00:00,your account number is 10203004,impeller-stem-baseline,,False,,,numeric_drift,"Candidate produced 10203004 (8 digits) instead of 100203004 (9 digits); dropped a zero from ""one hundred"".",n_a,No formatting instruction provided.,True,none,"The spoken digits ""one hundred two oh three oh oh four"" correctly format to 10203004.",True,,
chained-full-impeller-stem-qwen3-6-35b-iter09,qwen3-6-35b,impeller-stem+qwen,MONEY-003,7d8c326253d4,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,1035.37,901.69,2216,7,0.00036397595,stop,,2026-05-06T08:34:43.752251+00:00,2026-05-06T08:34:44.787670+00:00,it costs $9.99,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" formatted as $9.99 preserves meaning.",True,,
