run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-CURRENCY,973439ec38fcb44e,,the total amount is one seventy one forty one,the total amount is $171.41,the total amount is $1.71 41,790.38,,,,0,stop,,2026-05-06T08:19:35.603638+00:00,2026-05-06T08:19:36.394011+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-ORDERID,973439ec38fcb44e,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17342722384,790.11,,,,0,stop,,2026-05-06T08:19:35.606969+00:00,2026-05-06T08:19:36.397067+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-PERCENT,973439ec38fcb44e,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,790.79,,,,0,stop,,2026-05-06T08:19:35.606909+00:00,2026-05-06T08:19:36.397687+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-RANGE,973439ec38fcb44e,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",792.02,,,,0,stop,,2026-05-06T08:19:35.607145+00:00,2026-05-06T08:19:36.399157+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-NIAGARA-PHONE,973439ec38fcb44e,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 17342722384,795.66,,,,0,stop,,2026-05-06T08:19:35.607018+00:00,2026-05-06T08:19:36.402667+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-AVOMA-YEAR,973439ec38fcb44e,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,796.29,,,,0,stop,,2026-05-06T08:19:35.607109+00:00,2026-05-06T08:19:36.403394+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-RINGCENTRAL-PHONE,973439ec38fcb44e,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807297234,802.39,,,,0,stop,,2026-05-06T08:19:35.607064+00:00,2026-05-06T08:19:36.409450+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-CRESTA-ACCOUNT-ID,973439ec38fcb44e,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,810.41,,,,0,stop,,2026-05-06T08:19:35.606768+00:00,2026-05-06T08:19:36.417176+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,CANONICAL-TALKATOO-CENTURY,973439ec38fcb44e,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,164.87,,,,0,stop,,2026-05-06T08:19:36.394394+00:00,2026-05-06T08:19:36.559254+00:00
chained-full-impeller-stem-nemotron-nano-9b-v2-iter09-impeller-stem,impeller-stem-baseline,deepgram,MONEY-001,973439ec38fcb44e,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,169.67,,,,0,stop,,2026-05-06T08:19:36.400373+00:00,2026-05-06T08:19:36.570040+00:00
