run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
qwen3-6-27b-smoke,qwen3-6-27b,qwen,CANONICAL-CRESTA-PERCENT,15261ddfbe12,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,554.74,428.59,206,9,9.472e-05,stop,,2026-05-06T23:06:37.748644+00:00,2026-05-06T23:06:38.303422+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""One hundred percent"" was formatted as ""100%"", preserving meaning.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-003,15261ddfbe12,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,752.57,527.31,217,8,9.6525e-05,stop,,2026-05-06T23:06:37.749164+00:00,2026-05-06T23:06:38.501797+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" formatted as $9.99 preserves meaning.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-007,15261ddfbe12,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,545.10,445.39,217,7,9.184e-05,stop,,2026-05-06T23:06:37.749377+00:00,2026-05-06T23:06:38.294535+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""fifteen dollars"" correctly formatted as ""$15"".",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-002,15261ddfbe12,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,454.19,433.01,216,6,8.832e-05,stop,,2026-05-06T23:06:37.749113+00:00,2026-05-06T23:06:38.207364+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""twenty bucks"" correctly formatted as ""$20"".",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-005,15261ddfbe12,Format currency with the dollar sign.,about thirty five dollars total,about $35 total,about $35 total,835.81,788.65,217,6,9.0025e-05,stop,,2026-05-06T23:06:37.749277+00:00,2026-05-06T23:06:38.585143+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""thirty five dollars"" correctly formatted as ""$35"".",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-006,15261ddfbe12,,we owe two hundred dollars,we owe $200,we owe $200,1041.04,1012.78,205,7,8.9375e-05,stop,,2026-05-06T23:06:37.749329+00:00,2026-05-06T23:06:38.790409+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""two hundred dollars"" correctly formatted as ""$200"".",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-004,15261ddfbe12,,the bill came to forty seven dollars,the bill came to $47,the bill came to $47,952.10,850.05,207,7,0.0001494,stop,,2026-05-06T23:06:37.749224+00:00,2026-05-06T23:06:38.701381+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""$47"" correctly formats ""forty seven dollars"" with no added or dropped content.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-009,15261ddfbe12,,seven hundred fifty dollars please,$750 please,$750 please,311.66,219.56,205,6,8.48e-05,stop,,2026-05-06T23:06:38.295660+00:00,2026-05-06T23:06:38.607374+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""seven hundred fifty dollars"" correctly formatted as ""$750""; ""please"" preserved.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-008,15261ddfbe12,Format currency with the dollar sign.,charge them sixty two dollars,charge them $62,charge them $62,696.90,618.63,217,6,9.0025e-05,stop,,2026-05-06T23:06:38.208191+00:00,2026-05-06T23:06:38.905160+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""sixty two dollars"" correctly formatted as ""$62"".",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,CANONICAL-TALKATOO-CENTURY,15261ddfbe12,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,1196.34,963.83,227,14,0.000119275,stop,,2026-05-06T23:06:37.748979+00:00,2026-05-06T23:06:38.945362+00:00,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format honored.,False,none,"Date ""two six twenty six"" correctly formatted as 02/06/2026.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,CANONICAL-NIAGARA-PHONE,15261ddfbe12,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 173-427-2238,1093.35,756.40,226,17,0.0001287,stop,,2026-05-06T23:06:37.748777+00:00,2026-05-06T23:06:38.842166+00:00,False,,,numeric_drift,"Digits misgrouped: produced 173-427-2238 instead of 1-734-272-2384, dropping the final digit and shifting groupings.",partial,Used US-style dashes but omitted country code and misformatted the digits.,True,dropped_content,"Input has 11 digits (17342722384) but output only contains 10 digits, dropping the final ""4"".",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,CANONICAL-CRESTA-ACCOUNT-ID,15261ddfbe12,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 102-03-004,1232.26,962.84,212,16,0.0001209,stop,,2026-05-06T23:06:37.748512+00:00,2026-05-06T23:06:38.980835+00:00,False,,,wrong_value,"Candidate produced 102-03-004 (digits 10203004, 8 digits) vs reference 100203004 (9 digits); a digit was dropped.",n_a,No instruction provided.,True,none,The spoken digits are accurately formatted as a numeric account number; hyphens are formatting choices.,True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,CANONICAL-RINGCENTRAL-PHONE,15261ddfbe12,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 800-729-7234,1236.96,880.97,214,19,0.0001313,stop,,2026-05-06T23:06:37.748833+00:00,2026-05-06T23:06:38.985820+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Phone number formatted correctly from spoken digits with no content changed.,True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-012,15261ddfbe12,,they quoted eighty nine dollars,they quoted $89,they quoted $89,525.96,476.88,205,6,8.6125e-05,stop,,2026-05-06T23:06:38.586290+00:00,2026-05-06T23:06:39.112318+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,Currency formatted correctly; content preserved.,True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,CANONICAL-AVOMA-RANGE,15261ddfbe12,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $80,000–$90,000",1428.13,1149.97,207,20,0.0001435,stop,,2026-05-06T23:06:37.748933+00:00,2026-05-06T23:06:39.177104+00:00,False,,,wrong_value,"Candidate added ""$"" currency markers, converting CARDINAL into MONEY entities.",n_a,No instruction provided.,False,none,"Numbers formatted as currency range, content preserved.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,CANONICAL-NIAGARA-ORDERID,15261ddfbe12,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-34272-2384,1444.50,1169.38,239,18,0.0001555,stop,,2026-05-06T23:06:37.748718+00:00,2026-05-06T23:06:39.193258+00:00,True,,,pass,Matches reference exactly.,followed,Formatted as xx-xxxxx-xxxx starting with 17.,False,none,Digits 17342722384 match the spoken sequence; only formatting hyphens added.,True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-001,15261ddfbe12,Format currency with the dollar sign.,the coffee was four fifty,the coffee was $4.50,the coffee was $4.50,1479.15,1293.97,217,9,0.00014095,stop,,2026-05-06T23:06:37.749029+00:00,2026-05-06T23:06:39.228227+00:00,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""Four fifty"" formatted as $4.50, consistent with coffee price context.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-014,15261ddfbe12,,five dollars and twenty cents,$5.20,$5.20,685.60,609.31,205,6,8.6125e-05,stop,,2026-05-06T23:06:38.703145+00:00,2026-05-06T23:06:39.388810+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""$5.20"" is a faithful formatting of ""five dollars and twenty cents"".",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-E003,15261ddfbe12,,budget of about five hundred K,budget of about $500K,budget of about $500K,405.67,266.01,206,9,9.472e-05,stop,,2026-05-06T23:06:38.945895+00:00,2026-05-06T23:06:39.351623+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""five hundred K"" formatted as ""$500K"" preserves meaning; dollar sign is a reasonable inference for budget context.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-E006,15261ddfbe12,,zero dollars charged,$0 charged,$0 charged,699.17,595.53,203,4,7.8975e-05,stop,,2026-05-06T23:06:39.113377+00:00,2026-05-06T23:06:39.812666+00:00,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""zero dollars"" formatted as ""$0""; meaning preserved.",True,,
qwen3-6-27b-smoke,qwen3-6-27b,qwen,MONEY-010,15261ddfbe12,Use thousands separators in currency.,the deposit is one thousand dollars,"the deposit is $1,000","the deposit is $1,000",1491.03,1343.37,217,10,0.00014335,stop,,2026-05-06T23:06:38.303951+00:00,2026-05-06T23:06:39.795052+00:00,True,,,pass,Matches reference exactly.,followed,Used thousands separator as instructed.,False,none,"""One thousand dollars"" correctly formatted as ""$1,000"".",True,,
