run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,chain_input_text,baseline_model_id,baseline_error,exact_match,regex_pass,regex_check_used,judge_accuracy,judge_accuracy_reason,judge_promptability,judge_promptability_reason,judge_catastrophic,judge_hallucination,judge_hallucination_reason,methods_agree,disagreement_kind,judge_error
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-AVOMA-YEAR,7d8c326253d4,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,583.87,561.21,2164,15,0.00063641,stop,,2026-05-06T06:48:41.050482+00:00,2026-05-06T06:48:41.634390+00:00,we expect to launch in 2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"Year formatted from words to digits, content preserved.",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-AVOMA-RANGE,7d8c326253d4,,the budget range is eighty ninety thousand,"the budget range is 80,000–90,000","the budget range is $8,090,000",527.78,498.78,2168,19,0.00063993,stop,,2026-05-06T06:48:41.050629+00:00,2026-05-06T06:48:41.581586+00:00,"the budget range is $8,090,000",impeller-stem-baseline,,False,,,numeric_drift,"Candidate produced $8,090,000 instead of the range 80,000–90,000, drifting numeric values and adding a currency symbol.",n_a,No formatting instruction provided.,True,fabricated,"Input says ""eighty ninety thousand"" (likely $80-90k range), but output fabricates $8,090,000, misrepresenting the range as a single large number.",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-NIAGARA-PHONE,7d8c326253d4,This is a US phone number.,your reference is one seven three four two seven two two three eight four,your reference is +1-734-272-2384,your reference is 1-734-272-2384,552.14,513.98,2180,23,0.00064577,stop,,2026-05-06T06:48:41.050173+00:00,2026-05-06T06:48:41.602360+00:00,your reference is 17342722384,impeller-stem-baseline,,False,,,pass,"Same digits and US format; missing ""+"" is a stylistically equivalent variant.",followed,Formatted as US phone number.,False,dropped_content,"Input has 11 digits (1-7-3-4-2-7-2-2-3-8-4) but output only contains 10 digits, dropping one digit.",False,judge_pass_em_fail,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-RINGCENTRAL-PHONE,7d8c326253d4,,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,you can reach us at 807-297-234,603.27,566.11,2169,22,0.00056775,stop,,2026-05-06T06:48:41.050337+00:00,2026-05-06T06:48:41.653634+00:00,you can reach us at 807297234,impeller-stem-baseline,,False,,,numeric_drift,Phone number digits regrouped and one digit dropped (807-297-234 instead of 800-729-7234).,n_a,No formatting instruction provided.,True,dropped_content,"The input has 11 digits (800-729-7234) but the output only contains 9 digits, dropping the final ""4"" and misformatting the number.",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-CRESTA-PERCENT,7d8c326253d4,,satisfaction was one hundred percent,satisfaction was 100%,satisfaction was 100%,789.37,764.00,2161,13,0.0003374,stop,,2026-05-06T06:48:41.049823+00:00,2026-05-06T06:48:41.839225+00:00,satisfaction was 100%,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,n_a,No instruction provided.,False,none,"""One hundred percent"" correctly formatted as ""100%"".",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,MONEY-003,7d8c326253d4,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,314.75,306.36,2172,12,0.00034,stop,,2026-05-06T06:48:41.654036+00:00,2026-05-06T06:48:41.968846+00:00,it costs $9.99,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""nine ninety nine"" correctly formatted as $9.99.",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-TALKATOO-CENTURY,7d8c326253d4,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,350.27,326.90,2187,18,0.00034789,stop,,2026-05-06T06:48:41.582205+00:00,2026-05-06T06:48:41.932539+00:00,exam date 02/06/2026,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,MM/DD/YYYY format honored.,False,none,"Date formatted from spoken form, content preserved.",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,MONEY-002,7d8c326253d4,Format currency with the dollar sign.,she paid twenty bucks,she paid $20,she paid $20,382.00,355.21,2170,10,0.00033824,stop,,2026-05-06T06:48:41.634895+00:00,2026-05-06T06:48:42.016965+00:00,she paid $20,impeller-stem-baseline,,True,,,pass,Matches reference exactly.,followed,Used dollar sign as instructed.,False,none,"""twenty bucks"" correctly formatted as ""$20"" with meaning preserved.",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-NIAGARA-ORDERID,7d8c326253d4,"This is an order_id with format xx-xxxxx-xxxx, starts with 17.",your reference is one seven three four two seven two two three eight four,your reference is 17-34272-2384,your reference is 17-3427-22384,833.52,752.61,2193,22,0.00035199,stop,,2026-05-06T06:48:41.049989+00:00,2026-05-06T06:48:41.883550+00:00,your reference is 17342722384,impeller-stem-baseline,,False,,,style_violation,Digits correct but grouping doesn't match the specified xx-xxxxx-xxxx format.,partial,Started with 17 but used wrong segment lengths.,False,fabricated,"Input digits are 1-7-3-4-2-7-2-2-3-8-4 but output shows 17-3427-22384, which reorders/regroups incorrectly (e.g., ""3-4-2-7"" vs ""3427"" is fine, but ""2-2-3-8-4"" became ""22384"" — actually digits match). Wait, digits: 1,7,3,4,2,7,2,2,3,8,4 = 17342722384. Output: 17342722384. Digits match; only grouping added.",True,,
chained-impeller-stem-qwen3-32b-groq-iter09-api-reasoning-off,qwen3-32b-groq,impeller-stem+groq,CANONICAL-CRESTA-ACCOUNT-ID,7d8c326253d4,,your account number is one hundred two oh three oh oh four,your account number is 100203004,your account number is 10203004,1015.26,647.91,2167,18,0.00063905,stop,,2026-05-06T06:48:41.049599+00:00,2026-05-06T06:48:42.064912+00:00,your account number is 10203004,impeller-stem-baseline,,False,,,numeric_drift,Candidate dropped a digit: 10203004 (8 digits) vs reference 100203004 (9 digits).,n_a,No formatting instruction provided.,True,none,"The spoken digits ""one hundred two oh three oh oh four"" correctly format to 10203004.",True,,
